name
Dye's Valley Course
Albany GC
Sea Island Golf Club (Seaside Course)
Port Royal Golf Course
El Cardonal at Diamante
ACCORDIA GOLF Narashino Country Club
TPC Summerlin
Black Desert Resort
VidantaWorld
The Country Club of Jackson
Silverado Resort (North Course)
East Lake Golf Club
Castle Pines Golf Club
TPC Southwind
Sedgefield Country Club
Le Golf National
TPC Twin Cities
Tahoe Mountain Club (Old Greenwood)
Royal Troon
Keene Trace Golf Club (Champion Trace)
The Renaissance Club
TPC Deere Run
Detroit Golf Club
TPC River Highlands
Pinehurst Resort & Country Club (Course No. 2)
Muirfield Village Golf Club
Hamilton Golf & Country Club
Colonial Country Club
Valhalla Golf Club
Dunes Golf and Beach Club
Quail Hollow Club
TPC Craig Ranch
TPC Louisiana
Puntacana Resort & Club (Corales Golf Course)
Harbour Town Golf Links
Augusta National Golf Club
TPC San Antonio (Oaks Course)
Memorial Park Golf Course
Innisbrook Resort (Copperhead Course)
TPC Sawgrass (THE PLAYERS Stadium Course)
Grand Reserve Golf Club
Arnold Palmer's Bay Hill Club & Lodge
PGA National Resort (The Champion Course)
The Riviera Country Club
TPC Scottsdale (Stadium Course)
Pebble Beach Golf Links
Torrey Pines Golf Course (South Course)
Pete Dye Stadium Course
Waialae Country Club
Plantation Course at Kapalua
