rank,player,avg,total_sg_app,measured_rounds,tournament
44,Sahith Theegala,-0.372,-1.488,4,Arnold Palmer Invitational presented by Mastercard
45,Keegan Bradley,-0.441,-1.765,4,Arnold Palmer Invitational presented by Mastercard
46,C.T. Pan,-0.513,-2.052,4,Arnold Palmer Invitational presented by Mastercard
47,Brendon Todd,-0.524,-2.095,4,Arnold Palmer Invitational presented by Mastercard
48,Nick Dunlap,-0.527,-2.108,4,Arnold Palmer Invitational presented by Mastercard
49,Xander Schauffele,-0.552,-2.209,4,Arnold Palmer Invitational presented by Mastercard
50,Luke List,-0.562,-2.247,4,Arnold Palmer Invitational presented by Mastercard
51,Ludvig Åberg,-0.869,-3.477,4,Arnold Palmer Invitational presented by Mastercard
52,Patrick Cantlay,-0.889,-3.556,4,Arnold Palmer Invitational presented by Mastercard
53,Matthieu Pavon,-0.942,-3.768,4,Arnold Palmer Invitational presented by Mastercard
54,Taylor Moore,-1.004,-4.014,4,Arnold Palmer Invitational presented by Mastercard
55,Rory McIlroy,-1.068,-4.272,4,Arnold Palmer Invitational presented by Mastercard
56,Jason Day,-1.216,-4.865,4,Arnold Palmer Invitational presented by Mastercard
57,Christiaan Bezuidenhout,-1.734,-6.935,4,Arnold Palmer Invitational presented by Mastercard
58,Sepp Straka,-2.090,-8.361,4,Arnold Palmer Invitational presented by Mastercard
1,Chris Gotterup,1.754,7.018,4,Cognizant Classic in The Palm Beaches
2,Shane Lowry,1.579,6.315,4,Cognizant Classic in The Palm Beaches
3,Jacob Bridgeman,1.531,6.125,4,Cognizant Classic in The Palm Beaches
4,Min Woo Lee,1.505,6.020,4,Cognizant Classic in The Palm Beaches
5,Austin Eckroat,1.459,5.835,4,Cognizant Classic in The Palm Beaches
6,Alex Noren,1.433,5.734,4,Cognizant Classic in The Palm Beaches
7,Garrick Higgo,1.386,5.544,4,Cognizant Classic in The Palm Beaches
8,Peter Malnati,1.229,4.915,4,Cognizant Classic in The Palm Beaches
9,Tom Hoge,1.152,4.609,4,Cognizant Classic in The Palm Beaches
10,Kevin Yu,1.063,4.251,4,Cognizant Classic in The Palm Beaches
11,Ben Silverman,1.049,4.196,4,Cognizant Classic in The Palm Beaches
12,Ryan Fox,1.023,4.092,4,Cognizant Classic in The Palm Beaches
13,K.H. Lee,1.011,4.046,4,Cognizant Classic in The Palm Beaches
14,Rico Hoey,1.006,4.025,4,Cognizant Classic in The Palm Beaches
15,Troy Merritt,0.985,3.941,4,Cognizant Classic in The Palm Beaches
16,Corey Conners,0.968,3.874,4,Cognizant Classic in The Palm Beaches
17,Lucas Glover,0.954,3.815,4,Cognizant Classic in The Palm Beaches
18,Chris Kirk,0.950,3.802,4,Cognizant Classic in The Palm Beaches
19,Tyson Alexander,0.899,3.596,4,Cognizant Classic in The Palm Beaches
20,Vincent Norrman,0.869,3.475,4,Cognizant Classic in The Palm Beaches
21,Billy Horschel,0.773,3.092,4,Cognizant Classic in The Palm Beaches
22,Byeong Hun An,0.754,3.016,4,Cognizant Classic in The Palm Beaches
23,Jake Knapp,0.709,2.838,4,Cognizant Classic in The Palm Beaches
24,Parker Coody,0.664,2.655,4,Cognizant Classic in The Palm Beaches
25,Nico Echavarria,0.657,2.630,4,Cognizant Classic in The Palm Beaches
26,Carson Young,0.603,2.411,4,Cognizant Classic in The Palm Beaches
27,Jimmy Stanger,0.600,2.401,4,Cognizant Classic in The Palm Beaches
28,Beau Hossler,0.598,2.394,4,Cognizant Classic in The Palm Beaches
29,Sam Ryder,0.597,2.388,4,Cognizant Classic in The Palm Beaches
30,Doug Ghim,0.579,2.316,4,Cognizant Classic in The Palm Beaches
31,Rory McIlroy,0.542,2.168,4,Cognizant Classic in The Palm Beaches
32,Keith Mitchell,0.526,2.105,4,Cognizant Classic in The Palm Beaches
33,Camilo Villegas,0.513,2.052,4,Cognizant Classic in The Palm Beaches
34,Alexander Björk,0.477,1.907,4,Cognizant Classic in The Palm Beaches
35,Cameron Young,0.465,1.859,4,Cognizant Classic in The Palm Beaches
36,Andrew Novak,0.440,1.760,4,Cognizant Classic in The Palm Beaches
37,Victor Perez,0.381,1.525,4,Cognizant Classic in The Palm Beaches
38,Nick Dunlap,0.359,1.436,4,Cognizant Classic in The Palm Beaches
39,Mac Meissner,0.307,1.230,4,Cognizant Classic in The Palm Beaches
40,Martin Laird,0.299,1.198,4,Cognizant Classic in The Palm Beaches
41,C.T. Pan,0.251,1.005,4,Cognizant Classic in The Palm Beaches
42,David Lipsky,0.245,0.982,4,Cognizant Classic in The Palm Beaches
43,Matthieu Pavon,0.237,0.949,4,Cognizant Classic in The Palm Beaches
44,Matt Fitzpatrick,0.228,0.912,4,Cognizant Classic in The Palm Beaches
45,Greyson Sigg,0.213,0.854,4,Cognizant Classic in The Palm Beaches
46,Davis Thompson,0.178,0.711,4,Cognizant Classic in The Palm Beaches
47,Erik van Rooyen,0.167,0.668,4,Cognizant Classic in The Palm Beaches
48,Max Greyserman,0.157,0.628,4,Cognizant Classic in The Palm Beaches
49,Robert MacIntyre,0.100,0.401,4,Cognizant Classic in The Palm Beaches
50,David Skinns,0.079,0.318,4,Cognizant Classic in The Palm Beaches
51,Chan Kim,0.021,0.085,4,Cognizant Classic in The Palm Beaches
52,Bud Cauley,-0.104,-0.417,4,Cognizant Classic in The Palm Beaches
53,Rickie Fowler,-0.115,-0.460,4,Cognizant Classic in The Palm Beaches
54,Zach Johnson,-0.177,-0.708,4,Cognizant Classic in The Palm Beaches
55,Davis Riley,-0.328,-1.310,4,Cognizant Classic in The Palm Beaches
56,Chesson Hadley,-0.369,-1.475,4,Cognizant Classic in The Palm Beaches
57,Joseph Bramlett,-0.445,-1.779,4,Cognizant Classic in The Palm Beaches
58,J.T. Poston,-0.539,-2.155,4,Cognizant Classic in The Palm Beaches
59,Taylor Montgomery,-0.631,-2.525,4,Cognizant Classic in The Palm Beaches
60,Russell Henley,-0.777,-3.106,4,Cognizant Classic in The Palm Beaches
61,Justin Rose,-0.781,-3.123,4,Cognizant Classic in The Palm Beaches
62,Jorge Campillo,-0.783,-3.130,4,Cognizant Classic in The Palm Beaches
63,Maverick McNealy,-0.823,-3.290,4,Cognizant Classic in The Palm Beaches
64,Chad Ramey,-0.933,-3.731,4,Cognizant Classic in The Palm Beaches
65,Tom Kim,-1.182,-4.728,4,Cognizant Classic in The Palm Beaches
66,Mark Hubbard,-1.290,-5.160,4,Cognizant Classic in The Palm Beaches
67,S.H. Kim,-1.468,-5.870,4,Cognizant Classic in The Palm Beaches
68,Adam Schenk,-1.593,-6.372,4,Cognizant Classic in The Palm Beaches
1,Jake Knapp,2.177,8.709,4,Mexico Open at Vidanta
2,Keith Mitchell,2.015,8.059,4,Mexico Open at Vidanta
3,Aaron Rai,1.579,6.316,4,Mexico Open at Vidanta
4,Doug Ghim,1.497,5.989,4,Mexico Open at Vidanta
5,Austin Eckroat,1.355,5.420,4,Mexico Open at Vidanta
6,Andrew Novak,1.338,5.353,4,Mexico Open at Vidanta
7,Tony Finau,1.230,4.920,4,Mexico Open at Vidanta
8,Chandler Phillips,1.155,4.618,4,Mexico Open at Vidanta
9,Lanto Griffin,1.136,4.542,4,Mexico Open at Vidanta
10,Harry Hall,1.101,4.405,4,Mexico Open at Vidanta
11,Alvaro Ortiz,1.090,4.361,4,Mexico Open at Vidanta
12,Sami Valimaki,0.992,3.967,4,Mexico Open at Vidanta
13,Justin Lower,0.966,3.864,4,Mexico Open at Vidanta
14,Erik van Rooyen,0.916,3.663,4,Mexico Open at Vidanta
15,Robert MacIntyre,0.870,3.481,4,Mexico Open at Vidanta
16,Greyson Sigg,0.854,3.414,4,Mexico Open at Vidanta
17,Jhonattan Vegas,0.851,3.405,4,Mexico Open at Vidanta
18,Stuart Macdonald,0.835,3.338,4,Mexico Open at Vidanta
19,Parker Coody,0.707,2.826,4,Mexico Open at Vidanta
20,Erik Barnes,0.674,2.695,4,Mexico Open at Vidanta
21,Thorbjørn Olesen,0.653,2.612,4,Mexico Open at Vidanta
22,Joseph Bramlett,0.619,2.477,4,Mexico Open at Vidanta
23,Victor Perez,0.609,2.436,4,Mexico Open at Vidanta
24,Hayden Springer,0.557,2.227,4,Mexico Open at Vidanta
25,Ryan Moore,0.543,2.171,4,Mexico Open at Vidanta
26,Emiliano Grillo,0.531,2.123,4,Mexico Open at Vidanta
27,Chan Kim,0.529,2.115,4,Mexico Open at Vidanta
28,Henrik Norlander,0.510,2.041,4,Mexico Open at Vidanta
29,Nico Echavarria,0.485,1.941,4,Mexico Open at Vidanta
30,Carson Young,0.473,1.891,4,Mexico Open at Vidanta
31,Jorge Campillo,0.449,1.795,4,Mexico Open at Vidanta
32,Carl Yuan,0.410,1.638,4,Mexico Open at Vidanta
33,Davis Thompson,0.407,1.627,4,Mexico Open at Vidanta
34,Stephan Jaeger,0.400,1.600,4,Mexico Open at Vidanta
35,Aaron Baddeley,0.388,1.553,4,Mexico Open at Vidanta
36,Brandon Wu,0.370,1.481,4,Mexico Open at Vidanta
37,Kevin Dougherty,0.359,1.437,4,Mexico Open at Vidanta
38,Padraig Harrington,0.358,1.433,4,Mexico Open at Vidanta
39,Rafael Campos,0.319,1.274,4,Mexico Open at Vidanta
40,Ryo Hisatsune,0.306,1.225,4,Mexico Open at Vidanta
41,Dylan Wu,0.279,1.116,4,Mexico Open at Vidanta
42,Austin Smotherman,0.206,0.825,4,Mexico Open at Vidanta
43,Matt Wallace,0.176,0.705,4,Mexico Open at Vidanta
44,James Hahn,0.140,0.559,4,Mexico Open at Vidanta
45,Chesson Hadley,0.110,0.441,4,Mexico Open at Vidanta
46,Cristobal Del Solar,0.102,0.407,4,Mexico Open at Vidanta
47,Nicolai Højgaard,0.067,0.268,4,Mexico Open at Vidanta
48,C.T. Pan,0.048,0.193,4,Mexico Open at Vidanta
49,Patrick Rodgers,-0.024,-0.096,4,Mexico Open at Vidanta
50,Ryan Palmer,-0.035,-0.141,4,Mexico Open at Vidanta
51,Ryan McCormick,-0.301,-1.204,4,Mexico Open at Vidanta
52,Jimmy Stanger,-0.327,-1.308,4,Mexico Open at Vidanta
53,Martin Trainer,-0.388,-1.551,4,Mexico Open at Vidanta
54,Cameron Champ,-0.392,-1.568,4,Mexico Open at Vidanta
55,Mark Hubbard,-0.426,-1.705,4,Mexico Open at Vidanta
56,Maverick McNealy,-0.536,-2.144,4,Mexico Open at Vidanta
57,MJ Daffue,-0.626,-2.504,4,Mexico Open at Vidanta
58,Santiago De la Fuente,-0.718,-2.872,4,Mexico Open at Vidanta
59,Chad Ramey,-0.818,-3.271,4,Mexico Open at Vidanta
60,Trace Crowe,-0.920,-3.680,4,Mexico Open at Vidanta
61,Troy Merritt,-1.118,-4.472,4,Mexico Open at Vidanta
62,Robby Shelton,-1.133,-4.532,4,Mexico Open at Vidanta
63,Ben Silverman,-1.278,-5.114,4,Mexico Open at Vidanta
64,Garrick Higgo,-1.408,-5.634,4,Mexico Open at Vidanta
65,Wilson Furr,-1.471,-5.885,4,Mexico Open at Vidanta
1,Tom Hoge,1.711,6.845,4,The Genesis Invitational
2,Taylor Moore,1.570,6.280,4,The Genesis Invitational
3,Luke List,1.532,6.128,4,The Genesis Invitational
4,Will Zalatoris,1.321,5.282,4,The Genesis Invitational
5,Patrick Cantlay,1.122,4.487,4,The Genesis Invitational
6,Cameron Young,0.928,3.711,4,The Genesis Invitational
7,Corey Conners,0.896,3.583,4,The Genesis Invitational
8,Tony Finau,0.843,3.370,4,The Genesis Invitational
9,Russell Henley,0.842,3.367,4,The Genesis Invitational
10,Christiaan Bezuidenhout,0.799,3.196,4,The Genesis Invitational
11,Byeong Hun An,0.798,3.192,4,The Genesis Invitational
12,Kurt Kitayama,0.787,3.147,4,The Genesis Invitational
13,Collin Morikawa,0.657,2.627,4,The Genesis Invitational
14,Jason Day,0.564,2.254,4,The Genesis Invitational
15,Xander Schauffele,0.562,2.248,4,The Genesis Invitational
16,Ludvig Åberg,0.550,2.200,4,The Genesis Invitational
17,Adam Svensson,0.542,2.168,4,The Genesis Invitational
18,Hideki Matsuyama,0.510,2.038,4,The Genesis Invitational
19,Viktor Hovland,0.410,1.639,4,The Genesis Invitational
20,Nick Taylor,0.383,1.530,4,The Genesis Invitational
21,Tom Kim,0.306,1.225,4,The Genesis Invitational
22,Adam Hadwin,0.243,0.970,4,The Genesis Invitational
23,Nicolai Højgaard,0.174,0.697,4,The Genesis Invitational
24,Eric Cole,0.144,0.577,4,The Genesis Invitational
25,Adam Scott,0.075,0.299,4,The Genesis Invitational
26,Tommy Fleetwood,0.070,0.281,4,The Genesis Invitational
27,Harris English,0.062,0.249,4,The Genesis Invitational
28,Lucas Glover,0.035,0.141,4,The Genesis Invitational
29,Max Homa,0.017,0.066,4,The Genesis Invitational
30,Lee Hodges,-0.026,-0.103,4,The Genesis Invitational
31,Si Woo Kim,-0.070,-0.281,4,The Genesis Invitational
32,Sam Burns,-0.096,-0.386,4,The Genesis Invitational
33,Scottie Scheffler,-0.127,-0.507,4,The Genesis Invitational
34,J.T. Poston,-0.175,-0.700,4,The Genesis Invitational
35,Cam Davis,-0.263,-1.054,4,The Genesis Invitational
36,Rory McIlroy,-0.266,-1.063,4,The Genesis Invitational
37,Rickie Fowler,-0.293,-1.171,4,The Genesis Invitational
38,Emiliano Grillo,-0.377,-1.508,4,The Genesis Invitational
39,Andrew Putnam,-0.490,-1.961,4,The Genesis Invitational
40,Sungjae Im,-0.544,-2.177,4,The Genesis Invitational
41,Beau Hossler,-0.597,-2.390,4,The Genesis Invitational
42,Gary Woodland,-0.614,-2.456,4,The Genesis Invitational
43,Denny McCarthy,-0.684,-2.738,4,The Genesis Invitational
44,Seamus Power,-0.734,-2.936,4,The Genesis Invitational
45,Ben Griffin,-0.736,-2.943,4,The Genesis Invitational
46,Brian Harman,-0.877,-3.508,4,The Genesis Invitational
47,Brendon Todd,-0.911,-3.645,4,The Genesis Invitational
48,Sahith Theegala,-0.924,-3.698,4,The Genesis Invitational
49,Charley Hoffman,-0.962,-3.847,4,The Genesis Invitational
50,Chase Johnson,-1.430,-5.719,4,The Genesis Invitational
51,Mackenzie Hughes,-1.593,-6.373,4,The Genesis Invitational
1,Scottie Scheffler,2.312,9.246,4,WM Phoenix Open
2,Charley Hoffman,1.746,6.984,4,WM Phoenix Open
3,Adam Scott,1.618,6.473,4,WM Phoenix Open
4,Emiliano Grillo,1.490,5.959,4,WM Phoenix Open
5,Sahith Theegala,1.390,5.561,4,WM Phoenix Open
6,Sami Valimaki,1.364,5.455,4,WM Phoenix Open
7,Tom Kim,1.357,5.428,4,WM Phoenix Open
8,Andrew Novak,1.310,5.241,4,WM Phoenix Open
9,Nick Taylor,1.279,5.117,4,WM Phoenix Open
10,Christiaan Bezuidenhout,1.242,4.966,4,WM Phoenix Open
11,Wyndham Clark,1.074,4.295,4,WM Phoenix Open
12,Davis Thompson,1.055,4.218,4,WM Phoenix Open
13,Daniel Berger,0.986,3.942,4,WM Phoenix Open
14,Taylor Moore,0.951,3.804,4,WM Phoenix Open
15,Jhonattan Vegas,0.942,3.769,4,WM Phoenix Open
16,Tom Hoge,0.927,3.707,4,WM Phoenix Open
17,Carson Young,0.911,3.645,4,WM Phoenix Open
18,Bud Cauley,0.898,3.593,4,WM Phoenix Open
19,Matt Wallace,0.884,3.534,4,WM Phoenix Open
20,Sam Burns,0.780,3.119,4,WM Phoenix Open
21,Jake Knapp,0.716,2.862,4,WM Phoenix Open
22,Doug Ghim,0.704,2.815,4,WM Phoenix Open
23,Justin Lower,0.641,2.565,4,WM Phoenix Open
24,Maverick McNealy,0.639,2.555,4,WM Phoenix Open
25,Justin Suh,0.628,2.513,4,WM Phoenix Open
26,Denny McCarthy,0.596,2.384,4,WM Phoenix Open
27,Justin Thomas,0.580,2.320,4,WM Phoenix Open
28,Taylor Montgomery,0.535,2.140,4,WM Phoenix Open
29,Cameron Young,0.369,1.477,4,WM Phoenix Open
30,Tyler Duncan,0.335,1.341,4,WM Phoenix Open
31,Mark Hubbard,0.325,1.301,4,WM Phoenix Open
32,Keith Mitchell,0.321,1.285,4,WM Phoenix Open
33,Eric Cole,0.287,1.148,4,WM Phoenix Open
34,Adam Schenk,0.234,0.935,4,WM Phoenix Open
35,Ryan Fox,0.163,0.650,4,WM Phoenix Open
36,Corey Conners,0.145,0.578,4,WM Phoenix Open
37,Beau Hossler,0.083,0.330,4,WM Phoenix Open
38,Si Woo Kim,0.066,0.262,4,WM Phoenix Open
39,Shane Lowry,0.053,0.212,4,WM Phoenix Open
40,S.H. Kim,0.015,0.058,4,WM Phoenix Open
41,Kurt Kitayama,-0.014,-0.057,4,WM Phoenix Open
42,Billy Horschel,-0.050,-0.199,4,WM Phoenix Open
43,Garrick Higgo,-0.052,-0.209,4,WM Phoenix Open
44,Zach Johnson,-0.084,-0.336,4,WM Phoenix Open
45,Matt Fitzpatrick,-0.122,-0.488,4,WM Phoenix Open
46,Tyson Alexander,-0.123,-0.493,4,WM Phoenix Open
47,Ben Griffin,-0.193,-0.773,4,WM Phoenix Open
48,Hideki Matsuyama,-0.200,-0.801,4,WM Phoenix Open
49,Sam Stevens,-0.201,-0.803,4,WM Phoenix Open
50,Aaron Baddeley,-0.236,-0.943,4,WM Phoenix Open
51,Adrien Dumont de Chassart,-0.302,-1.209,4,WM Phoenix Open
52,Jim Knous,-0.330,-1.320,4,WM Phoenix Open
53,Byeong Hun An,-0.333,-1.334,4,WM Phoenix Open
54,Martin Laird,-0.340,-1.362,4,WM Phoenix Open
55,Harry Hall,-0.344,-1.377,4,WM Phoenix Open
56,Seamus Power,-0.385,-1.541,4,WM Phoenix Open
57,Nicolo Galletti,-0.461,-1.843,4,WM Phoenix Open
58,Robby Shelton,-0.467,-1.868,4,WM Phoenix Open
59,Hayden Buckley,-0.517,-2.067,4,WM Phoenix Open
60,Joel Dahmen,-0.624,-2.495,4,WM Phoenix Open
61,Brendon Todd,-0.637,-2.548,4,WM Phoenix Open
62,Thomas Detry,-0.693,-2.771,4,WM Phoenix Open
63,Zac Blair,-0.708,-2.834,4,WM Phoenix Open
64,Harris English,-0.709,-2.836,4,WM Phoenix Open
65,Jordan Spieth,-0.793,-3.174,4,WM Phoenix Open
66,Jesse Mueller,-0.806,-3.223,4,WM Phoenix Open
67,Kevin Chappell,-0.980,-3.921,4,WM Phoenix Open
68,Alex Noren,-1.161,-4.645,4,WM Phoenix Open
69,Sungjae Im,-1.184,-4.735,4,WM Phoenix Open
70,Min Woo Lee,-1.368,-5.472,4,WM Phoenix Open
71,Matt NeSmith,-1.398,-5.593,4,WM Phoenix Open
72,Brian Harman,-1.543,-6.172,4,WM Phoenix Open
73,Nick Hardy,-1.664,-6.656,4,WM Phoenix Open
1,Cam Davis,2.663,5.326,2,AT&T Pebble Beach Pro-Am
2,Kevin Yu,2.424,4.848,2,AT&T Pebble Beach Pro-Am
3,Matthieu Pavon,2.284,4.568,2,AT&T Pebble Beach Pro-Am
4,Eric Cole,2.230,4.460,2,AT&T Pebble Beach Pro-Am
5,Scottie Scheffler,2.194,4.389,2,AT&T Pebble Beach Pro-Am
6,Tom Hoge,1.868,3.736,2,AT&T Pebble Beach Pro-Am
7,Christiaan Bezuidenhout,1.861,3.722,2,AT&T Pebble Beach Pro-Am
8,Si Woo Kim,1.690,3.380,2,AT&T Pebble Beach Pro-Am
9,Lucas Glover,1.647,3.293,2,AT&T Pebble Beach Pro-Am
10,Tony Finau,1.590,3.179,2,AT&T Pebble Beach Pro-Am
11,Adam Svensson,1.404,2.808,2,AT&T Pebble Beach Pro-Am
12,Adam Scott,1.246,2.492,2,AT&T Pebble Beach Pro-Am
13,Brian Harman,1.235,2.470,2,AT&T Pebble Beach Pro-Am
14,Jason Day,1.224,2.449,2,AT&T Pebble Beach Pro-Am
15,Justin Thomas,1.211,2.422,2,AT&T Pebble Beach Pro-Am
16,Xander Schauffele,1.132,2.263,2,AT&T Pebble Beach Pro-Am
17,Sam Burns,1.096,2.193,2,AT&T Pebble Beach Pro-Am
18,Lee Hodges,0.958,1.916,2,AT&T Pebble Beach Pro-Am
19,Kurt Kitayama,0.935,1.870,2,AT&T Pebble Beach Pro-Am
20,Wyndham Clark,0.821,1.642,2,AT&T Pebble Beach Pro-Am
21,Luke List,0.721,1.441,2,AT&T Pebble Beach Pro-Am
22,Sahith Theegala,0.668,1.336,2,AT&T Pebble Beach Pro-Am
23,Sam Ryder,0.604,1.207,2,AT&T Pebble Beach Pro-Am
24,Jordan Spieth,0.567,1.134,2,AT&T Pebble Beach Pro-Am
25,Denny McCarthy,0.525,1.050,2,AT&T Pebble Beach Pro-Am
26,Nicolai Højgaard,0.515,1.031,2,AT&T Pebble Beach Pro-Am
27,Adam Hadwin,0.451,0.902,2,AT&T Pebble Beach Pro-Am
28,Brendon Todd,0.404,0.807,2,AT&T Pebble Beach Pro-Am
29,Seamus Power,0.242,0.483,2,AT&T Pebble Beach Pro-Am
30,Keegan Bradley,0.215,0.430,2,AT&T Pebble Beach Pro-Am
31,Nick Taylor,0.169,0.337,2,AT&T Pebble Beach Pro-Am
32,Ludvig Åberg,0.122,0.244,2,AT&T Pebble Beach Pro-Am
33,Keith Mitchell,0.076,0.153,2,AT&T Pebble Beach Pro-Am
34,Russell Henley,0.015,0.030,2,AT&T Pebble Beach Pro-Am
35,Taylor Montgomery,-0.078,-0.157,2,AT&T Pebble Beach Pro-Am
36,Alex Noren,-0.090,-0.181,2,AT&T Pebble Beach Pro-Am
37,Erik van Rooyen,-0.101,-0.203,2,AT&T Pebble Beach Pro-Am
38,Mark Hubbard,-0.105,-0.210,2,AT&T Pebble Beach Pro-Am
39,J.T. Poston,-0.134,-0.267,2,AT&T Pebble Beach Pro-Am
40,Corey Conners,-0.138,-0.276,2,AT&T Pebble Beach Pro-Am
41,Matt Fitzpatrick,-0.148,-0.297,2,AT&T Pebble Beach Pro-Am
42,Rickie Fowler,-0.151,-0.302,2,AT&T Pebble Beach Pro-Am
43,Collin Morikawa,-0.165,-0.331,2,AT&T Pebble Beach Pro-Am
44,Chris Kirk,-0.204,-0.408,2,AT&T Pebble Beach Pro-Am
45,Patrick Cantlay,-0.209,-0.418,2,AT&T Pebble Beach Pro-Am
46,Andrew Putnam,-0.214,-0.428,2,AT&T Pebble Beach Pro-Am
47,Tom Kim,-0.234,-0.469,2,AT&T Pebble Beach Pro-Am
48,Max Homa,-0.245,-0.491,2,AT&T Pebble Beach Pro-Am
49,Taylor Moore,-0.256,-0.511,2,AT&T Pebble Beach Pro-Am
50,Ben Griffin,-0.296,-0.593,2,AT&T Pebble Beach Pro-Am
51,Hideki Matsuyama,-0.381,-0.762,2,AT&T Pebble Beach Pro-Am
52,Justin Rose,-0.522,-1.044,2,AT&T Pebble Beach Pro-Am
53,Grayson Murray,-0.529,-1.058,2,AT&T Pebble Beach Pro-Am
54,Nick Hardy,-0.560,-1.120,2,AT&T Pebble Beach Pro-Am
55,Tommy Fleetwood,-0.608,-1.215,2,AT&T Pebble Beach Pro-Am
56,Mackenzie Hughes,-0.628,-1.256,2,AT&T Pebble Beach Pro-Am
57,Byeong Hun An,-0.637,-1.274,2,AT&T Pebble Beach Pro-Am
58,Sepp Straka,-0.689,-1.378,2,AT&T Pebble Beach Pro-Am
59,Maverick McNealy,-0.752,-1.504,2,AT&T Pebble Beach Pro-Am
60,Sungjae Im,-0.782,-1.564,2,AT&T Pebble Beach Pro-Am
61,Webb Simpson,-0.791,-1.583,2,AT&T Pebble Beach Pro-Am
62,Matt Kuchar,-0.799,-1.599,2,AT&T Pebble Beach Pro-Am
63,Beau Hossler,-0.816,-1.631,2,AT&T Pebble Beach Pro-Am
64,Brandon Wu,-0.887,-1.775,2,AT&T Pebble Beach Pro-Am
65,Thomas Detry,-0.901,-1.802,2,AT&T Pebble Beach Pro-Am
66,J.J. Spaun,-0.928,-1.856,2,AT&T Pebble Beach Pro-Am
67,Harris English,-0.934,-1.869,2,AT&T Pebble Beach Pro-Am
68,Stephan Jaeger,-0.969,-1.938,2,AT&T Pebble Beach Pro-Am
69,Cameron Young,-1.007,-2.013,2,AT&T Pebble Beach Pro-Am
70,Peter Malnati,-1.111,-2.223,2,AT&T Pebble Beach Pro-Am
71,Hayden Buckley,-1.129,-2.258,2,AT&T Pebble Beach Pro-Am
72,S.H. Kim,-1.250,-2.501,2,AT&T Pebble Beach Pro-Am
73,Adam Schenk,-1.264,-2.528,2,AT&T Pebble Beach Pro-Am
74,Viktor Hovland,-1.630,-3.259,2,AT&T Pebble Beach Pro-Am
75,Davis Riley,-1.953,-3.906,2,AT&T Pebble Beach Pro-Am
76,Rory McIlroy,-2.073,-4.146,2,AT&T Pebble Beach Pro-Am
77,Patrick Rodgers,-2.117,-4.235,2,AT&T Pebble Beach Pro-Am
78,Alex Smalley,-2.321,-4.643,2,AT&T Pebble Beach Pro-Am
79,Nick Dunlap,-2.543,-5.087,2,AT&T Pebble Beach Pro-Am
80,Emiliano Grillo,-2.720,-5.440,2,AT&T Pebble Beach Pro-Am
1,Mark Hubbard,2.793,8.379,3,Farmers Insurance Open
2,Tony Finau,2.343,7.030,3,Farmers Insurance Open
3,Matthieu Pavon,1.798,5.394,3,Farmers Insurance Open
4,Nick Hardy,1.746,5.238,3,Farmers Insurance Open
5,Tom Whitney,1.695,5.086,3,Farmers Insurance Open
6,Ludvig Åberg,1.572,4.715,3,Farmers Insurance Open
7,Parker Coody,1.499,4.497,3,Farmers Insurance Open
8,Stephan Jaeger,1.498,4.493,3,Farmers Insurance Open
9,Robby Shelton,1.404,4.211,3,Farmers Insurance Open
10,Emiliano Grillo,1.279,3.838,3,Farmers Insurance Open
11,Hideki Matsuyama,1.256,3.769,3,Farmers Insurance Open
12,Jake Knapp,1.254,3.761,3,Farmers Insurance Open
13,Xander Schauffele,1.230,3.689,3,Farmers Insurance Open
14,Beau Hossler,1.053,3.158,3,Farmers Insurance Open
15,Carson Young,1.035,3.104,3,Farmers Insurance Open
16,Akshay Bhatia,0.990,2.971,3,Farmers Insurance Open
17,Doug Ghim,0.956,2.869,3,Farmers Insurance Open
18,Michael Kim,0.887,2.662,3,Farmers Insurance Open
19,Rafael Campos,0.695,2.084,3,Farmers Insurance Open
20,Bronson Burgoon,0.648,1.945,3,Farmers Insurance Open
21,Scott Stallings,0.633,1.898,3,Farmers Insurance Open
22,Ryo Hisatsune,0.615,1.846,3,Farmers Insurance Open
23,Alexander Björk,0.609,1.827,3,Farmers Insurance Open
24,Tom Hoge,0.591,1.774,3,Farmers Insurance Open
25,Trace Crowe,0.577,1.731,3,Farmers Insurance Open
26,Ben Martin,0.545,1.635,3,Farmers Insurance Open
27,Ben Silverman,0.521,1.563,3,Farmers Insurance Open
28,Luke List,0.472,1.417,3,Farmers Insurance Open
29,Tyson Alexander,0.445,1.335,3,Farmers Insurance Open
30,Shane Lowry,0.438,1.315,3,Farmers Insurance Open
31,Mackenzie Hughes,0.412,1.237,3,Farmers Insurance Open
32,Patrick Rodgers,0.364,1.092,3,Farmers Insurance Open
33,Justin Lower,0.363,1.088,3,Farmers Insurance Open
34,Nicolai Højgaard,0.332,0.997,3,Farmers Insurance Open
35,Chesson Hadley,0.329,0.988,3,Farmers Insurance Open
36,Nate Lashley,0.318,0.955,3,Farmers Insurance Open
37,Adrien Dumont de Chassart,0.281,0.844,3,Farmers Insurance Open
38,Will Zalatoris,0.152,0.456,3,Farmers Insurance Open
39,Vincent Norrman,0.118,0.353,3,Farmers Insurance Open
40,Justin Rose,0.039,0.118,3,Farmers Insurance Open
41,Kevin Yu,0.035,0.105,3,Farmers Insurance Open
42,Sam Stevens,0.023,0.070,3,Farmers Insurance Open
43,Taylor Pendrith,0.012,0.037,3,Farmers Insurance Open
44,Max Homa,-0.040,-0.121,3,Farmers Insurance Open
