position
1
2
3
T4
7
T8
T14
T19
T26
T36
T43
T50
T64
T72
T88
T96
T109
T117
T124
T131
T133
T136
T139
T141
T144
T147
T150
152
153
WD
4
5
6
8
T9
11
12
13
16
T17
T2
T5
T11
T15
T25
T30
T35
T42
T49
52
T53
T60
64
65
T66
T68
CUT
T3
T12
T23
T29
T37
T47
T55
T57
61
T62
T65
T67
T70
T73
75
DQ
T6
T20
T24
T39
T45
54
57
T58
T13
T16
T22
T27
T33
T41
T46
T54
T56
63
70
T71
73
74
76
77
T34
45
51
T52
T59
T61
66
T21
T40
60
67
68
69
T38
T48
T28
T63
T7
T32
T44
20
26
25
T31
48
9
T10
T18
58
17
53
55
56
71
72
49
T75
78
79
80
15
T51
42
10
36
37
38
39
40
T69
T78
81
82
T74
83
50
T80
59
