name
PGA TOUR Q-School presented by Korn Ferry
Hero World Challenge
The RSM Classic
Butterfield Bermuda Championship
World Wide Technology Championship
ZOZO CHAMPIONSHIP
Shriners Children's Open
Black Desert Championship
Mexico Open at Vidanta
Sanderson Farms Championship
Procore Championship
TOUR Championship
BMW Championship
FedEx St. Jude Championship
Wyndham Championship
Men’s Olympic Golf Competition
3M Open
Barracuda Championship
The Open Championship
ISCO Championship
Genesis Scottish Open
John Deere Classic
Rocket Mortgage Classic
Travelers Championship
U.S. Open
the Memorial Tournament presented by Workday
RBC Canadian Open
Charles Schwab Challenge
PGA Championship
Myrtle Beach Classic
Wells Fargo Championship
THE CJ CUP Byron Nelson
Zurich Classic of New Orleans
Corales Puntacana Championship
RBC Heritage
Masters Tournament
Valero Texas Open
Texas Children's Houston Open
Valspar Championship
THE PLAYERS Championship
Puerto Rico Open
Arnold Palmer Invitational presented by Mastercard
Cognizant Classic in The Palm Beaches
The Genesis Invitational
WM Phoenix Open
AT&T Pebble Beach Pro-Am
Farmers Insurance Open
The American Express
Sony Open in Hawaii
The Sentry
