rank,player,avg,total_sg_t,total_sg_t2g,total_sg_p,measured_rounds,tournament
12,Brian Harman,1.123,4.492,6.589,-2.096,4,Arnold Palmer Invitational presented by Mastercard
12,Lee Hodges,1.123,4.492,1.208,3.285,4,Arnold Palmer Invitational presented by Mastercard
12,Tom Hoge,1.123,4.492,9.252,-4.759,4,Arnold Palmer Invitational presented by Mastercard
12,Hideki Matsuyama,1.123,4.492,3.703,.790,4,Arnold Palmer Invitational presented by Mastercard
12,Nick Taylor,1.123,4.492,2.432,2.061,4,Arnold Palmer Invitational presented by Mastercard
12,Justin Thomas,1.123,4.492,3.905,.588,4,Arnold Palmer Invitational presented by Mastercard
18,Corey Conners,0.873,3.492,5.213,-1.720,4,Arnold Palmer Invitational presented by Mastercard
18,Cam Davis,0.873,3.492,1.872,1.621,4,Arnold Palmer Invitational presented by Mastercard
18,Sungjae Im,0.873,3.492,3.488,.005,4,Arnold Palmer Invitational presented by Mastercard
21,Eric Cole,0.623,2.492,-.260,2.753,4,Arnold Palmer Invitational presented by Mastercard
21,Harris English,0.623,2.492,1.476,1.017,4,Arnold Palmer Invitational presented by Mastercard
21,Rory McIlroy,0.623,2.492,.928,1.565,4,Arnold Palmer Invitational presented by Mastercard
21,Seamus Power,0.623,2.492,2.504,-.011,4,Arnold Palmer Invitational presented by Mastercard
25,Ludvig Åberg,0.373,1.492,-2.215,3.708,4,Arnold Palmer Invitational presented by Mastercard
25,Grayson Murray,0.373,1.492,1.568,-.075,4,Arnold Palmer Invitational presented by Mastercard
25,Patrick Rodgers,0.373,1.492,-.049,1.542,4,Arnold Palmer Invitational presented by Mastercard
25,Xander Schauffele,0.373,1.492,1.862,-.369,4,Arnold Palmer Invitational presented by Mastercard
25,Erik van Rooyen,0.373,1.492,1.880,-.387,4,Arnold Palmer Invitational presented by Mastercard
30,Sam Burns,0.123,0.492,-1.790,2.283,4,Arnold Palmer Invitational presented by Mastercard
30,Lucas Glover,0.123,0.492,3.628,-3.135,4,Arnold Palmer Invitational presented by Mastercard
30,Mackenzie Hughes,0.123,0.492,1.791,-1.298,4,Arnold Palmer Invitational presented by Mastercard
30,Si Woo Kim,0.123,0.492,9.099,-8.606,4,Arnold Palmer Invitational presented by Mastercard
30,Webb Simpson,0.123,0.492,.142,.351,4,Arnold Palmer Invitational presented by Mastercard
30,Jordan Spieth,0.123,0.492,-1.392,1.885,4,Arnold Palmer Invitational presented by Mastercard
36,Keegan Bradley,-0.127,-0.508,-2.476,1.969,4,Arnold Palmer Invitational presented by Mastercard
36,Patrick Cantlay,-0.127,-0.508,-3.409,2.902,4,Arnold Palmer Invitational presented by Mastercard
36,Jason Day,-0.127,-0.508,-2.430,1.923,4,Arnold Palmer Invitational presented by Mastercard
36,Austin Eckroat,-0.127,-0.508,1.378,-1.885,4,Arnold Palmer Invitational presented by Mastercard
36,Rickie Fowler,-0.127,-0.508,-.628,.121,4,Arnold Palmer Invitational presented by Mastercard
36,Viktor Hovland,-0.127,-0.508,-1.160,.653,4,Arnold Palmer Invitational presented by Mastercard
36,Justin Lower,-0.127,-0.508,-.035,-.472,4,Arnold Palmer Invitational presented by Mastercard
36,Cameron Young,-0.127,-0.508,3.579,-4.086,4,Arnold Palmer Invitational presented by Mastercard
44,Christiaan Bezuidenhout,-0.377,-1.508,-2.100,.593,4,Arnold Palmer Invitational presented by Mastercard
44,Stephan Jaeger,-0.377,-1.508,1.655,-3.162,4,Arnold Palmer Invitational presented by Mastercard
44,Chris Kirk,-0.377,-1.508,3.217,-4.724,4,Arnold Palmer Invitational presented by Mastercard
44,Min Woo Lee,-0.377,-1.508,2.072,-3.579,4,Arnold Palmer Invitational presented by Mastercard
48,Nick Dunlap,-0.627,-2.508,-4.727,2.220,4,Arnold Palmer Invitational presented by Mastercard
48,Denny McCarthy,-0.627,-2.508,-5.268,2.761,4,Arnold Palmer Invitational presented by Mastercard
48,Taylor Moore,-0.627,-2.508,-3.200,.693,4,Arnold Palmer Invitational presented by Mastercard
51,C.T. Pan,-0.877,-3.508,-4.293,.786,4,Arnold Palmer Invitational presented by Mastercard
52,Adam Hadwin,-1.127,-4.508,-.071,-4.436,4,Arnold Palmer Invitational presented by Mastercard
52,Tom Kim,-1.127,-4.508,-3.025,-1.482,4,Arnold Palmer Invitational presented by Mastercard
52,Matthieu Pavon,-1.127,-4.508,-5.059,.552,4,Arnold Palmer Invitational presented by Mastercard
55,J.T. Poston,-1.627,-6.508,-3.142,-3.365,4,Arnold Palmer Invitational presented by Mastercard
56,Luke List,-2.127,-8.508,-3.224,-5.283,4,Arnold Palmer Invitational presented by Mastercard
57,Jake Knapp,-2.627,-10.508,-10.002,-.505,4,Arnold Palmer Invitational presented by Mastercard
57,Sepp Straka,-2.627,-10.508,-9.085,-1.422,4,Arnold Palmer Invitational presented by Mastercard
1,Austin Eckroat,3.157,12.627,8.906,3.721,4,Cognizant Classic in The Palm Beaches
2,Min Woo Lee,2.407,9.627,8.609,1.018,4,Cognizant Classic in The Palm Beaches
2,Erik van Rooyen,2.407,9.627,1.921,7.706,4,Cognizant Classic in The Palm Beaches
4,Jake Knapp,2.157,8.627,7.176,1.451,4,Cognizant Classic in The Palm Beaches
4,K.H. Lee,2.157,8.627,6.126,2.501,4,Cognizant Classic in The Palm Beaches
4,Shane Lowry,2.157,8.627,5.374,3.253,4,Cognizant Classic in The Palm Beaches
4,David Skinns,2.157,8.627,1.328,7.299,4,Cognizant Classic in The Palm Beaches
4,Cameron Young,2.157,8.627,4.767,3.860,4,Cognizant Classic in The Palm Beaches
9,Billy Horschel,1.907,7.627,6.714,.913,4,Cognizant Classic in The Palm Beaches
9,Martin Laird,1.907,7.627,4.429,3.198,4,Cognizant Classic in The Palm Beaches
9,Peter Malnati,1.907,7.627,5.608,2.019,4,Cognizant Classic in The Palm Beaches
9,Keith Mitchell,1.907,7.627,6.595,1.032,4,Cognizant Classic in The Palm Beaches
9,Alex Noren,1.907,7.627,6.009,1.618,4,Cognizant Classic in The Palm Beaches
9,Andrew Novak,1.907,7.627,5.574,2.053,4,Cognizant Classic in The Palm Beaches
9,Kevin Yu,1.907,7.627,8.467,-.840,4,Cognizant Classic in The Palm Beaches
16,Tyson Alexander,1.657,6.627,6.873,-.246,4,Cognizant Classic in The Palm Beaches
16,Doug Ghim,1.657,6.627,1.880,4.747,4,Cognizant Classic in The Palm Beaches
16,Garrick Higgo,1.657,6.627,1.147,5.480,4,Cognizant Classic in The Palm Beaches
16,Victor Perez,1.657,6.627,5.672,.955,4,Cognizant Classic in The Palm Beaches
16,Ben Silverman,1.657,6.627,7.890,-1.263,4,Cognizant Classic in The Palm Beaches
21,Byeong Hun An,1.407,5.627,4.950,.677,4,Cognizant Classic in The Palm Beaches
21,Bud Cauley,1.407,5.627,1.878,3.749,4,Cognizant Classic in The Palm Beaches
21,Nico Echavarria,1.407,5.627,3.633,1.994,4,Cognizant Classic in The Palm Beaches
21,Matt Fitzpatrick,1.407,5.627,2.675,2.952,4,Cognizant Classic in The Palm Beaches
21,Zach Johnson,1.407,5.627,1.887,3.740,4,Cognizant Classic in The Palm Beaches
21,Rory McIlroy,1.407,5.627,9.243,-3.616,4,Cognizant Classic in The Palm Beaches
21,Sam Ryder,1.407,5.627,.944,4.683,4,Cognizant Classic in The Palm Beaches
28,Jacob Bridgeman,1.157,4.627,1.384,3.243,4,Cognizant Classic in The Palm Beaches
28,Tom Hoge,1.157,4.627,3.424,1.203,4,Cognizant Classic in The Palm Beaches
28,Beau Hossler,1.157,4.627,5.014,-.387,4,Cognizant Classic in The Palm Beaches
28,Chan Kim,1.157,4.627,-.116,4.743,4,Cognizant Classic in The Palm Beaches
28,Chris Kirk,1.157,4.627,5.817,-1.190,4,Cognizant Classic in The Palm Beaches
28,C.T. Pan,1.157,4.627,-.029,4.656,4,Cognizant Classic in The Palm Beaches
28,Matthieu Pavon,1.157,4.627,1.263,3.364,4,Cognizant Classic in The Palm Beaches
35,Ryan Fox,0.907,3.627,3.021,.606,4,Cognizant Classic in The Palm Beaches
35,Lucas Glover,0.907,3.627,3.748,-.121,4,Cognizant Classic in The Palm Beaches
35,Chris Gotterup,0.907,3.627,3.476,.151,4,Cognizant Classic in The Palm Beaches
35,Chesson Hadley,0.907,3.627,.193,3.434,4,Cognizant Classic in The Palm Beaches
35,Chad Ramey,0.907,3.627,-3.278,6.905,4,Cognizant Classic in The Palm Beaches
35,Jimmy Stanger,0.907,3.627,4.436,-.809,4,Cognizant Classic in The Palm Beaches
41,Joseph Bramlett,0.657,2.627,-.792,3.419,4,Cognizant Classic in The Palm Beaches
41,Corey Conners,0.657,2.627,5.083,-2.456,4,Cognizant Classic in The Palm Beaches
41,Rickie Fowler,0.657,2.627,.006,2.621,4,Cognizant Classic in The Palm Beaches
41,Russell Henley,0.657,2.627,-4.520,7.147,4,Cognizant Classic in The Palm Beaches
41,David Lipsky,0.657,2.627,6.259,-3.632,4,Cognizant Classic in The Palm Beaches
41,Maverick McNealy,0.657,2.627,3.213,-.586,4,Cognizant Classic in The Palm Beaches
47,Alexander Björk,0.407,1.627,-.368,1.995,4,Cognizant Classic in The Palm Beaches
47,Parker Coody,0.407,1.627,4.266,-2.639,4,Cognizant Classic in The Palm Beaches
47,Max Greyserman,0.407,1.627,-.032,1.659,4,Cognizant Classic in The Palm Beaches
47,Troy Merritt,0.407,1.627,4.501,-2.874,4,Cognizant Classic in The Palm Beaches
47,Vincent Norrman,0.407,1.627,4.062,-2.435,4,Cognizant Classic in The Palm Beaches
47,Davis Thompson,0.407,1.627,4.390,-2.763,4,Cognizant Classic in The Palm Beaches
53,Jorge Campillo,0.157,0.627,-1.546,2.173,4,Cognizant Classic in The Palm Beaches
53,Nick Dunlap,0.157,0.627,-1.782,2.409,4,Cognizant Classic in The Palm Beaches
53,Mac Meissner,0.157,0.627,.414,.213,4,Cognizant Classic in The Palm Beaches
56,Rico Hoey,-0.093,-0.373,5.975,-6.348,4,Cognizant Classic in The Palm Beaches
56,Adam Schenk,-0.093,-0.373,-2.676,2.303,4,Cognizant Classic in The Palm Beaches
56,Greyson Sigg,-0.093,-0.373,3.501,-3.874,4,Cognizant Classic in The Palm Beaches
56,Carson Young,-0.093,-0.373,-1.394,1.021,4,Cognizant Classic in The Palm Beaches
60,Robert MacIntyre,-0.343,-1.373,3.515,-4.888,4,Cognizant Classic in The Palm Beaches
60,Taylor Montgomery,-0.343,-1.373,-6.443,5.070,4,Cognizant Classic in The Palm Beaches
62,Tom Kim,-0.593,-2.373,-3.182,.809,4,Cognizant Classic in The Palm Beaches
62,Davis Riley,-0.593,-2.373,-4.493,2.120,4,Cognizant Classic in The Palm Beaches
64,Mark Hubbard,-0.843,-3.373,-8.039,4.666,4,Cognizant Classic in The Palm Beaches
64,Justin Rose,-0.843,-3.373,-5.014,1.641,4,Cognizant Classic in The Palm Beaches
66,J.T. Poston,-1.093,-4.373,-5.503,1.130,4,Cognizant Classic in The Palm Beaches
67,S.H. Kim,-1.343,-5.373,-4.621,-.752,4,Cognizant Classic in The Palm Beaches
67,Camilo Villegas,-1.343,-5.373,-6.048,.675,4,Cognizant Classic in The Palm Beaches
1,Jake Knapp,3.649,14.596,11.395,3.201,4,Mexico Open at Vidanta
2,Sami Valimaki,3.149,12.596,7.235,5.361,4,Mexico Open at Vidanta
3,Stephan Jaeger,2.399,9.596,5.373,4.223,4,Mexico Open at Vidanta
3,Justin Lower,2.399,9.596,6.666,2.930,4,Mexico Open at Vidanta
3,C.T. Pan,2.399,9.596,6.750,2.846,4,Mexico Open at Vidanta
6,Robert MacIntyre,2.149,8.596,8.163,.433,4,Mexico Open at Vidanta
6,Patrick Rodgers,2.149,8.596,7.526,1.070,4,Mexico Open at Vidanta
8,Doug Ghim,1.899,7.596,7.682,-.086,4,Mexico Open at Vidanta
8,Chan Kim,1.899,7.596,2.598,4.998,4,Mexico Open at Vidanta
8,Andrew Novak,1.899,7.596,10.713,-3.117,4,Mexico Open at Vidanta
8,Erik van Rooyen,1.899,7.596,6.376,1.220,4,Mexico Open at Vidanta
8,Carson Young,1.899,7.596,5.782,1.814,4,Mexico Open at Vidanta
13,Tony Finau,1.649,6.596,6.319,.277,4,Mexico Open at Vidanta
13,Maverick McNealy,1.649,6.596,2.325,4.271,4,Mexico Open at Vidanta
13,Henrik Norlander,1.649,6.596,-.688,7.284,4,Mexico Open at Vidanta
13,Alvaro Ortiz,1.649,6.596,5.477,1.119,4,Mexico Open at Vidanta
13,Ben Silverman,1.649,6.596,-3.328,9.924,4,Mexico Open at Vidanta
13,Brandon Wu,1.649,6.596,3.352,3.244,4,Mexico Open at Vidanta
19,Jorge Campillo,1.399,5.596,2.902,2.694,4,Mexico Open at Vidanta
19,Keith Mitchell,1.399,5.596,8.706,-3.110,4,Mexico Open at Vidanta
19,Aaron Rai,1.399,5.596,7.544,-1.948,4,Mexico Open at Vidanta
19,Greyson Sigg,1.399,5.596,4.201,1.395,4,Mexico Open at Vidanta
19,Martin Trainer,1.399,5.596,-1.062,6.658,4,Mexico Open at Vidanta
24,Aaron Baddeley,1.149,4.596,-1.322,5.918,4,Mexico Open at Vidanta
24,Cameron Champ,1.149,4.596,-.634,5.230,4,Mexico Open at Vidanta
24,Parker Coody,1.149,4.596,2.885,1.711,4,Mexico Open at Vidanta
24,Nico Echavarria,1.149,4.596,2.376,2.220,4,Mexico Open at Vidanta
24,Chesson Hadley,1.149,4.596,5.574,-.978,4,Mexico Open at Vidanta
24,Stuart Macdonald,1.149,4.596,2.566,2.030,4,Mexico Open at Vidanta
24,Chandler Phillips,1.149,4.596,5.247,-.651,4,Mexico Open at Vidanta
24,Davis Thompson,1.149,4.596,.943,3.653,4,Mexico Open at Vidanta
24,Dylan Wu,1.149,4.596,3.245,1.351,4,Mexico Open at Vidanta
33,Emiliano Grillo,0.899,3.596,1.773,1.823,4,Mexico Open at Vidanta
33,James Hahn,0.899,3.596,-2.142,5.738,4,Mexico Open at Vidanta
33,Harry Hall,0.899,3.596,5.038,-1.442,4,Mexico Open at Vidanta
33,Chad Ramey,0.899,3.596,-.433,4.029,4,Mexico Open at Vidanta
33,Matt Wallace,0.899,3.596,2.592,1.004,4,Mexico Open at Vidanta
38,Joseph Bramlett,0.649,2.596,1.591,1.005,4,Mexico Open at Vidanta
38,Rafael Campos,0.649,2.596,2.086,.510,4,Mexico Open at Vidanta
38,Kevin Dougherty,0.649,2.596,3.276,-.680,4,Mexico Open at Vidanta
38,Austin Eckroat,0.649,2.596,7.344,-4.748,4,Mexico Open at Vidanta
38,Wilson Furr,0.649,2.596,-2.851,5.447,4,Mexico Open at Vidanta
38,Ryan McCormick,0.649,2.596,-2.530,5.126,4,Mexico Open at Vidanta
38,Hayden Springer,0.649,2.596,3.691,-1.095,4,Mexico Open at Vidanta
38,Jimmy Stanger,0.649,2.596,4.909,-2.313,4,Mexico Open at Vidanta
46,Santiago De la Fuente,0.399,1.596,.967,.629,4,Mexico Open at Vidanta
46,Thorbjørn Olesen,0.399,1.596,1.383,.213,4,Mexico Open at Vidanta
48,Cristobal Del Solar,0.149,0.596,3.034,-2.438,4,Mexico Open at Vidanta
48,Lanto Griffin,0.149,0.596,1.377,-.781,4,Mexico Open at Vidanta
48,Ryo Hisatsune,0.149,0.596,.129,.467,4,Mexico Open at Vidanta
48,Mark Hubbard,0.149,0.596,-.523,1.119,4,Mexico Open at Vidanta
52,Padraig Harrington,-0.101,-0.404,.819,-1.223,4,Mexico Open at Vidanta
52,Nicolai Højgaard,-0.101,-0.404,1.897,-2.301,4,Mexico Open at Vidanta
52,Ryan Palmer,-0.101,-0.404,1.492,-1.896,4,Mexico Open at Vidanta
52,Victor Perez,-0.101,-0.404,1.668,-2.072,4,Mexico Open at Vidanta
52,Austin Smotherman,-0.101,-0.404,-.632,.228,4,Mexico Open at Vidanta
52,Carl Yuan,-0.101,-0.404,4.368,-4.772,4,Mexico Open at Vidanta
58,Erik Barnes,-0.351,-1.404,2.982,-4.386,4,Mexico Open at Vidanta
58,Troy Merritt,-0.351,-1.404,1.243,-2.647,4,Mexico Open at Vidanta
60,Trace Crowe,-0.851,-3.404,-8.705,5.301,4,Mexico Open at Vidanta
60,Garrick Higgo,-0.851,-3.404,-4.677,1.273,4,Mexico Open at Vidanta
60,Ryan Moore,-0.851,-3.404,-.401,-3.003,4,Mexico Open at Vidanta
60,Robby Shelton,-0.851,-3.404,-3.487,.083,4,Mexico Open at Vidanta
60,Jhonattan Vegas,-0.851,-3.404,-.049,-3.355,4,Mexico Open at Vidanta
65,MJ Daffue,-2.601,-10.404,-10.811,.407,4,Mexico Open at Vidanta
1,Hideki Matsuyama,3.321,13.284,8.987,4.297,4,The Genesis Invitational
2,Luke List,2.571,10.284,3.626,6.658,4,The Genesis Invitational
2,Will Zalatoris,2.571,10.284,8.006,2.278,4,The Genesis Invitational
4,Patrick Cantlay,2.321,9.284,3.114,6.170,4,The Genesis Invitational
4,Adam Hadwin,2.321,9.284,6.240,3.044,4,The Genesis Invitational
4,Xander Schauffele,2.321,9.284,7.688,1.596,4,The Genesis Invitational
7,Harris English,2.071,8.284,4.573,3.711,4,The Genesis Invitational
8,Tom Hoge,1.821,7.284,6.436,.848,4,The Genesis Invitational
9,Jason Day,1.321,5.284,5.941,-.657,4,The Genesis Invitational
10,Sam Burns,1.071,4.284,2.523,1.761,4,The Genesis Invitational
10,Eric Cole,1.071,4.284,2.711,1.573,4,The Genesis Invitational
10,Tommy Fleetwood,1.071,4.284,.090,4.194,4,The Genesis Invitational
10,J.T. Poston,1.071,4.284,3.469,.815,4,The Genesis Invitational
10,Scottie Scheffler,1.071,4.284,8.643,-4.359,4,The Genesis Invitational
10,Adam Svensson,1.071,4.284,6.943,-2.659,4,The Genesis Invitational
16,Byeong Hun An,0.821,3.284,7.058,-3.774,4,The Genesis Invitational
16,Max Homa,0.821,3.284,.134,3.150,4,The Genesis Invitational
16,Cameron Young,0.821,3.284,3.671,-.387,4,The Genesis Invitational
19,Ludvig Åberg,0.571,2.284,1.291,.993,4,The Genesis Invitational
19,Tony Finau,0.571,2.284,5.870,-3.586,4,The Genesis Invitational
19,Viktor Hovland,0.571,2.284,1.973,.311,4,The Genesis Invitational
19,Collin Morikawa,0.571,2.284,.652,1.632,4,The Genesis Invitational
19,Adam Scott,0.571,2.284,-.215,2.499,4,The Genesis Invitational
24,Christiaan Bezuidenhout,0.321,1.284,-1.635,2.919,4,The Genesis Invitational
24,Corey Conners,0.321,1.284,4.483,-3.199,4,The Genesis Invitational
24,Russell Henley,0.321,1.284,1.830,-.546,4,The Genesis Invitational
24,Lee Hodges,0.321,1.284,-.972,2.256,4,The Genesis Invitational
24,Beau Hossler,0.321,1.284,-2.335,3.619,4,The Genesis Invitational
24,Tom Kim,0.321,1.284,3.574,-2.290,4,The Genesis Invitational
24,Rory McIlroy,0.321,1.284,.495,.789,4,The Genesis Invitational
31,Mackenzie Hughes,0.071,0.284,.917,-.633,4,The Genesis Invitational
31,Taylor Moore,0.071,0.284,1.911,-1.627,4,The Genesis Invitational
31,Seamus Power,0.071,0.284,-1.234,1.518,4,The Genesis Invitational
31,Brendon Todd,0.071,0.284,-2.919,3.203,4,The Genesis Invitational
35,Rickie Fowler,-0.179,-0.716,-3.062,2.346,4,The Genesis Invitational
35,Lucas Glover,-0.179,-0.716,3.244,-3.960,4,The Genesis Invitational
37,Ben Griffin,-0.429,-1.716,-2.970,1.254,4,The Genesis Invitational
37,Sahith Theegala,-0.429,-1.716,-3.813,2.097,4,The Genesis Invitational
39,Nicolai Højgaard,-0.679,-2.716,-3.231,.515,4,The Genesis Invitational
39,Kurt Kitayama,-0.679,-2.716,-1.290,-1.426,4,The Genesis Invitational
39,Denny McCarthy,-0.679,-2.716,-2.420,-.296,4,The Genesis Invitational
39,Nick Taylor,-0.679,-2.716,-.863,-1.853,4,The Genesis Invitational
39,Gary Woodland,-0.679,-2.716,-1.521,-1.195,4,The Genesis Invitational
44,Emiliano Grillo,-0.929,-3.716,-6.002,2.286,4,The Genesis Invitational
44,Brian Harman,-0.929,-3.716,-2.931,-.785,4,The Genesis Invitational
44,Sungjae Im,-0.929,-3.716,-4.632,.916,4,The Genesis Invitational
44,Si Woo Kim,-0.929,-3.716,-2.725,-.991,4,The Genesis Invitational
44,Andrew Putnam,-0.929,-3.716,-4.351,.635,4,The Genesis Invitational
49,Cam Davis,-1.429,-5.716,-3.466,-2.250,4,The Genesis Invitational
50,Charley Hoffman,-1.929,-7.716,-5.888,-1.828,4,The Genesis Invitational
51,Chase Johnson,-2.179,-8.716,-4.826,-3.890,4,The Genesis Invitational
1,Charley Hoffman,4.065,16.258,9.075,7.183,4,WM Phoenix Open
1,Nick Taylor,4.065,16.258,7.324,8.934,4,WM Phoenix Open
3,Sam Burns,3.315,13.258,9.035,4.223,4,WM Phoenix Open
3,Scottie Scheffler,3.315,13.258,12.839,.419,4,WM Phoenix Open
5,Sahith Theegala,3.065,12.258,8.737,3.521,4,WM Phoenix Open
6,Maverick McNealy,2.315,9.258,7.716,1.542,4,WM Phoenix Open
6,Jordan Spieth,2.315,9.258,4.186,5.072,4,WM Phoenix Open
8,Kurt Kitayama,2.065,8.258,3.778,4.480,4,WM Phoenix Open
8,Andrew Novak,2.065,8.258,5.063,3.195,4,WM Phoenix Open
8,Adam Scott,2.065,8.258,6.594,1.664,4,WM Phoenix Open
8,Cameron Young,2.065,8.258,3.044,5.214,4,WM Phoenix Open
12,Doug Ghim,1.815,7.258,6.131,1.127,4,WM Phoenix Open
12,Si Woo Kim,1.815,7.258,6.616,.642,4,WM Phoenix Open
12,Justin Thomas,1.815,7.258,6.910,.348,4,WM Phoenix Open
15,Matt Fitzpatrick,1.565,6.258,3.879,2.379,4,WM Phoenix Open
15,Davis Thompson,1.565,6.258,4.176,2.082,4,WM Phoenix Open
17,Harris English,1.315,5.258,.707,4.551,4,WM Phoenix Open
17,Tom Hoge,1.315,5.258,3.196,2.062,4,WM Phoenix Open
17,Tom Kim,1.315,5.258,4.527,.731,4,WM Phoenix Open
17,Keith Mitchell,1.315,5.258,3.776,1.482,4,WM Phoenix Open
17,Adam Schenk,1.315,5.258,1.602,3.656,4,WM Phoenix Open
22,Emiliano Grillo,1.065,4.258,6.565,-2.307,4,WM Phoenix Open
22,Hideki Matsuyama,1.065,4.258,2.618,1.640,4,WM Phoenix Open
22,Denny McCarthy,1.065,4.258,4.089,.169,4,WM Phoenix Open
22,Justin Suh,1.065,4.258,1.442,2.816,4,WM Phoenix Open
22,Brendon Todd,1.065,4.258,-2.590,6.848,4,WM Phoenix Open
22,Jhonattan Vegas,1.065,4.258,5.028,-.770,4,WM Phoenix Open
28,Aaron Baddeley,0.815,3.258,-3.259,6.517,4,WM Phoenix Open
28,Daniel Berger,0.815,3.258,2.627,.631,4,WM Phoenix Open
28,Christiaan Bezuidenhout,0.815,3.258,4.314,-1.056,4,WM Phoenix Open
28,Hayden Buckley,0.815,3.258,-.583,3.841,4,WM Phoenix Open
28,Corey Conners,0.815,3.258,2.328,.930,4,WM Phoenix Open
28,Thomas Detry,0.815,3.258,.227,3.031,4,WM Phoenix Open
28,Ben Griffin,0.815,3.258,.884,2.374,4,WM Phoenix Open
28,S.H. Kim,0.815,3.258,3.701,-.443,4,WM Phoenix Open
28,Jake Knapp,0.815,3.258,.307,2.951,4,WM Phoenix Open
28,Jim Knous,0.815,3.258,3.692,-.434,4,WM Phoenix Open
28,Sam Stevens,0.815,3.258,1.499,1.759,4,WM Phoenix Open
39,Taylor Montgomery,0.565,2.258,-.705,2.963,4,WM Phoenix Open
39,Taylor Moore,0.565,2.258,6.740,-4.482,4,WM Phoenix Open
41,Wyndham Clark,0.315,1.258,2.108,-.850,4,WM Phoenix Open
41,Joel Dahmen,0.315,1.258,.329,.929,4,WM Phoenix Open
41,Ryan Fox,0.315,1.258,-4.701,5.959,4,WM Phoenix Open
41,Harry Hall,0.315,1.258,.569,.689,4,WM Phoenix Open
41,Billy Horschel,0.315,1.258,-3.545,4.803,4,WM Phoenix Open
41,Beau Hossler,0.315,1.258,3.091,-1.833,4,WM Phoenix Open
41,Sami Valimaki,0.315,1.258,2.269,-1.011,4,WM Phoenix Open
41,Carson Young,0.315,1.258,3.778,-2.520,4,WM Phoenix Open
49,Zac Blair,0.065,0.258,-.248,.506,4,WM Phoenix Open
49,Kevin Chappell,0.065,0.258,-6.126,6.384,4,WM Phoenix Open
49,Eric Cole,0.065,0.258,-.854,1.112,4,WM Phoenix Open
49,Garrick Higgo,0.065,0.258,-2.136,2.394,4,WM Phoenix Open
53,Tyson Alexander,-0.186,-0.742,-1.189,.447,4,WM Phoenix Open
53,Tyler Duncan,-0.186,-0.742,1.842,-2.584,4,WM Phoenix Open
53,Mark Hubbard,-0.186,-0.742,.915,-1.657,4,WM Phoenix Open
53,Martin Laird,-0.186,-0.742,-1.154,.412,4,WM Phoenix Open
53,Justin Lower,-0.186,-0.742,2.406,-3.148,4,WM Phoenix Open
53,Alex Noren,-0.186,-0.742,-1.174,.432,4,WM Phoenix Open
53,Matt Wallace,-0.186,-0.742,1.024,-1.766,4,WM Phoenix Open
60,Adrien Dumont de Chassart,-0.436,-1.742,2.032,-3.774,4,WM Phoenix Open
60,Brian Harman,-0.436,-1.742,-3.338,1.596,4,WM Phoenix Open
60,Zach Johnson,-0.436,-1.742,-1.446,-.296,4,WM Phoenix Open
60,Shane Lowry,-0.436,-1.742,1.351,-3.093,4,WM Phoenix Open
60,Robby Shelton,-0.436,-1.742,-2.580,.838,4,WM Phoenix Open
65,Bud Cauley,-0.686,-2.742,2.998,-5.740,4,WM Phoenix Open
66,Byeong Hun An,-0.936,-3.742,-.772,-2.970,4,WM Phoenix Open
66,Nick Hardy,-0.936,-3.742,-3.588,-.154,4,WM Phoenix Open
66,Sungjae Im,-0.936,-3.742,-.811,-2.931,4,WM Phoenix Open
66,Jesse Mueller,-0.936,-3.742,-6.991,3.249,4,WM Phoenix Open
66,Seamus Power,-0.936,-3.742,2.883,-6.625,4,WM Phoenix Open
71,Min Woo Lee,-1.186,-4.742,-3.818,-.924,4,WM Phoenix Open
71,Matt NeSmith,-1.186,-4.742,-2.099,-2.643,4,WM Phoenix Open
73,Nicolo Galletti,-1.686,-6.742,-.048,-6.694,4,WM Phoenix Open
1,Wyndham Clark,5.725,11.450,4.534,6.917,2,AT&T Pebble Beach Pro-Am
2,Matthieu Pavon,4.538,9.075,5.392,3.683,2,AT&T Pebble Beach Pro-Am
3,Ludvig Åberg,3.225,6.450,3.722,2.729,2,AT&T Pebble Beach Pro-Am
3,Tom Hoge,3.225,6.450,3.255,3.196,2,AT&T Pebble Beach Pro-Am
5,Mark Hubbard,3.038,6.075,1.281,4.794,2,AT&T Pebble Beach Pro-Am
6,Eric Cole,2.538,5.075,4.116,.959,2,AT&T Pebble Beach Pro-Am
6,Si Woo Kim,2.538,5.075,5.751,-.676,2,AT&T Pebble Beach Pro-Am
8,Jason Day,2.225,4.450,3.808,.643,2,AT&T Pebble Beach Pro-Am
8,Scottie Scheffler,2.225,4.450,3.614,.837,2,AT&T Pebble Beach Pro-Am
10,Kurt Kitayama,2.038,4.075,6.742,-2.667,2,AT&T Pebble Beach Pro-Am
10,Collin Morikawa,2.038,4.075,3.466,.609,2,AT&T Pebble Beach Pro-Am
12,Keegan Bradley,1.725,3.450,1.942,1.509,2,AT&T Pebble Beach Pro-Am
12,Nicolai Højgaard,1.725,3.450,2.176,1.275,2,AT&T Pebble Beach Pro-Am
12,Adam Scott,1.725,3.450,4.252,-.801,2,AT&T Pebble Beach Pro-Am
12,Justin Thomas,1.725,3.450,5.762,-2.311,2,AT&T Pebble Beach Pro-Am
