rank,player,avg,total_sg_putting,measured_rounds,tournament
24,Patrick Cantlay,-0.583,-2.331,4,TOUR Championship
25,Aaron Rai,-0.682,-2.729,4,TOUR Championship
26,Chris Kirk,-0.751,-3.005,4,TOUR Championship
27,Byeong Hun An,-0.797,-3.189,4,TOUR Championship
28,Ludvig Åberg,-0.804,-3.214,4,TOUR Championship
29,Tom Hoge,-0.853,-3.410,4,TOUR Championship
30,Tony Finau,-1.671,-6.685,4,TOUR Championship
1,Max Greyserman,1.601,6.403,4,BMW Championship
2,Sam Burns,1.591,6.366,4,BMW Championship
3,Sepp Straka,1.451,5.805,4,BMW Championship
4,Ludvig Åberg,1.147,4.587,4,BMW Championship
5,Alex Noren,1.006,4.023,4,BMW Championship
6,Stephan Jaeger,0.955,3.821,4,BMW Championship
7,Byeong Hun An,0.779,3.118,4,BMW Championship
8,Cameron Young,0.678,2.713,4,BMW Championship
9,Matt Fitzpatrick,0.637,2.547,4,BMW Championship
10,Thomas Detry,0.624,2.498,4,BMW Championship
11,Taylor Pendrith,0.598,2.391,4,BMW Championship
12,Will Zalatoris,0.501,2.004,4,BMW Championship
13,Denny McCarthy,0.464,1.858,4,BMW Championship
14,Wyndham Clark,0.445,1.781,4,BMW Championship
15,Adam Scott,0.444,1.778,4,BMW Championship
16,Xander Schauffele,0.391,1.566,4,BMW Championship
17,Shane Lowry,0.388,1.554,4,BMW Championship
18,Si Woo Kim,0.382,1.529,4,BMW Championship
19,Tommy Fleetwood,0.359,1.438,4,BMW Championship
20,Rory McIlroy,0.335,1.339,4,BMW Championship
21,Chris Kirk,0.284,1.137,4,BMW Championship
22,Christiaan Bezuidenhout,0.252,1.010,4,BMW Championship
23,Akshay Bhatia,0.227,0.907,4,BMW Championship
24,Jason Day,0.105,0.422,4,BMW Championship
25,Patrick Cantlay,0.077,0.307,4,BMW Championship
26,Cam Davis,0.059,0.237,4,BMW Championship
27,Sungjae Im,-0.129,-0.516,4,BMW Championship
28,Corey Conners,-0.134,-0.536,4,BMW Championship
29,Russell Henley,-0.135,-0.541,4,BMW Championship
30,Adam Hadwin,-0.138,-0.552,4,BMW Championship
31,Brian Harman,-0.202,-0.807,4,BMW Championship
32,Matthieu Pavon,-0.321,-1.282,4,BMW Championship
33,Tom Hoge,-0.345,-1.381,4,BMW Championship
34,Keegan Bradley,-0.422,-1.689,4,BMW Championship
35,Scottie Scheffler,-0.475,-1.900,4,BMW Championship
36,Billy Horschel,-0.479,-1.916,4,BMW Championship
37,J.T. Poston,-0.557,-2.227,4,BMW Championship
38,Collin Morikawa,-0.664,-2.654,4,BMW Championship
39,Max Homa,-0.678,-2.713,4,BMW Championship
40,Aaron Rai,-0.841,-3.362,4,BMW Championship
41,Nick Dunlap,-0.868,-3.471,4,BMW Championship
42,Eric Cole,-0.923,-3.693,4,BMW Championship
43,Austin Eckroat,-1.077,-4.307,4,BMW Championship
44,Davis Thompson,-1.106,-4.422,4,BMW Championship
45,Justin Thomas,-1.390,-5.558,4,BMW Championship
46,Viktor Hovland,-1.470,-5.881,4,BMW Championship
47,Tony Finau,-1.477,-5.906,4,BMW Championship
48,Sahith Theegala,-2.189,-8.755,4,BMW Championship
1,Hideki Matsuyama,2.050,8.201,4,FedEx St. Jude Championship
2,Sam Burns,1.783,7.131,4,FedEx St. Jude Championship
3,Denny McCarthy,1.706,6.823,4,FedEx St. Jude Championship
4,Brendon Todd,1.545,6.180,4,FedEx St. Jude Championship
5,Robert MacIntyre,1.345,5.379,4,FedEx St. Jude Championship
6,Akshay Bhatia,1.200,4.800,4,FedEx St. Jude Championship
7,Xander Schauffele,1.096,4.383,4,FedEx St. Jude Championship
8,Seamus Power,0.976,3.903,4,FedEx St. Jude Championship
9,Si Woo Kim,0.964,3.857,4,FedEx St. Jude Championship
10,Matt Fitzpatrick,0.920,3.681,4,FedEx St. Jude Championship
11,Nick Dunlap,0.887,3.546,4,FedEx St. Jude Championship
12,Viktor Hovland,0.828,3.312,4,FedEx St. Jude Championship
13,Wyndham Clark,0.724,2.895,4,FedEx St. Jude Championship
14,Collin Morikawa,0.680,2.718,4,FedEx St. Jude Championship
15,Max Greyserman,0.617,2.468,4,FedEx St. Jude Championship
16,Sungjae Im,0.529,2.116,4,FedEx St. Jude Championship
17,Will Zalatoris,0.514,2.057,4,FedEx St. Jude Championship
18,Maverick McNealy,0.495,1.980,4,FedEx St. Jude Championship
19,Scottie Scheffler,0.476,1.904,4,FedEx St. Jude Championship
20,Patrick Cantlay,0.403,1.610,4,FedEx St. Jude Championship
21,Patrick Rodgers,0.375,1.499,4,FedEx St. Jude Championship
22,Russell Henley,0.374,1.494,4,FedEx St. Jude Championship
22,Mackenzie Hughes,0.374,1.495,4,FedEx St. Jude Championship
24,Stephan Jaeger,0.330,1.321,4,FedEx St. Jude Championship
25,Adam Scott,0.306,1.223,4,FedEx St. Jude Championship
26,Alex Noren,0.293,1.173,4,FedEx St. Jude Championship
27,Adam Hadwin,0.274,1.095,4,FedEx St. Jude Championship
28,Billy Horschel,0.271,1.084,4,FedEx St. Jude Championship
29,Cam Davis,0.262,1.046,4,FedEx St. Jude Championship
30,Harris English,0.222,0.889,4,FedEx St. Jude Championship
31,Victor Perez,0.149,0.595,4,FedEx St. Jude Championship
32,J.T. Poston,0.145,0.580,4,FedEx St. Jude Championship
33,Austin Eckroat,0.141,0.562,4,FedEx St. Jude Championship
34,Eric Cole,0.133,0.530,4,FedEx St. Jude Championship
35,Taylor Pendrith,0.111,0.444,4,FedEx St. Jude Championship
36,Jason Day,0.035,0.139,4,FedEx St. Jude Championship
37,Tony Finau,-0.026,-0.105,4,FedEx St. Jude Championship
38,Sahith Theegala,-0.055,-0.219,4,FedEx St. Jude Championship
39,Ludvig Åberg,-0.056,-0.224,4,FedEx St. Jude Championship
40,Corey Conners,-0.057,-0.229,4,FedEx St. Jude Championship
41,Matthieu Pavon,-0.126,-0.505,4,FedEx St. Jude Championship
42,Christiaan Bezuidenhout,-0.152,-0.607,4,FedEx St. Jude Championship
43,Ben Griffin,-0.177,-0.708,4,FedEx St. Jude Championship
44,Davis Thompson,-0.208,-0.831,4,FedEx St. Jude Championship
45,Min Woo Lee,-0.232,-0.927,4,FedEx St. Jude Championship
46,Peter Malnati,-0.290,-1.159,4,FedEx St. Jude Championship
47,Thomas Detry,-0.303,-1.211,4,FedEx St. Jude Championship
48,Keegan Bradley,-0.333,-1.331,4,FedEx St. Jude Championship
49,Jhonattan Vegas,-0.402,-1.609,4,FedEx St. Jude Championship
50,Justin Rose,-0.424,-1.695,4,FedEx St. Jude Championship
51,Chris Kirk,-0.514,-2.057,4,FedEx St. Jude Championship
52,Byeong Hun An,-0.537,-2.148,4,FedEx St. Jude Championship
53,Jordan Spieth,-0.636,-2.544,4,FedEx St. Jude Championship
54,Tom Hoge,-0.656,-2.625,4,FedEx St. Jude Championship
55,Erik van Rooyen,-0.660,-2.639,4,FedEx St. Jude Championship
56,Brian Harman,-0.684,-2.737,4,FedEx St. Jude Championship
57,Max Homa,-0.806,-3.226,4,FedEx St. Jude Championship
58,Sepp Straka,-0.807,-3.229,4,FedEx St. Jude Championship
59,Justin Thomas,-0.830,-3.322,4,FedEx St. Jude Championship
60,Cameron Young,-0.864,-3.457,4,FedEx St. Jude Championship
61,Nick Taylor,-0.943,-3.773,4,FedEx St. Jude Championship
62,Emiliano Grillo,-1.051,-4.203,4,FedEx St. Jude Championship
63,Shane Lowry,-1.099,-4.397,4,FedEx St. Jude Championship
64,Aaron Rai,-1.172,-4.687,4,FedEx St. Jude Championship
65,Jake Knapp,-1.257,-5.029,4,FedEx St. Jude Championship
66,Tom Kim,-1.323,-5.294,4,FedEx St. Jude Championship
67,Mark Hubbard,-1.415,-5.659,4,FedEx St. Jude Championship
68,Taylor Moore,-1.484,-5.938,4,FedEx St. Jude Championship
69,Rory McIlroy,-1.958,-7.833,4,FedEx St. Jude Championship
70,Tommy Fleetwood,-1.994,-7.977,4,FedEx St. Jude Championship
1,Matt Kuchar,1.853,7.411,4,Wyndham Championship
2,S.H. Kim,1.821,7.286,4,Wyndham Championship
3,Adam Svensson,1.720,6.881,4,Wyndham Championship
4,Max Greyserman,1.600,6.401,4,Wyndham Championship
5,Mackenzie Hughes,1.292,5.169,4,Wyndham Championship
6,Chris Gotterup,1.258,5.031,4,Wyndham Championship
7,Jorge Campillo,1.251,5.006,4,Wyndham Championship
8,Justin Suh,1.215,4.862,4,Wyndham Championship
9,Brendon Todd,1.177,4.707,4,Wyndham Championship
10,Austin Eckroat,1.129,4.515,4,Wyndham Championship
11,Mac Meissner,1.119,4.478,4,Wyndham Championship
12,Ryo Hisatsune,1.077,4.310,4,Wyndham Championship
13,Matt Wallace,1.035,4.140,4,Wyndham Championship
14,Billy Horschel,0.960,3.842,4,Wyndham Championship
15,Zach Johnson,0.939,3.757,4,Wyndham Championship
16,Martin Trainer,0.898,3.592,4,Wyndham Championship
17,Sungjae Im,0.884,3.536,4,Wyndham Championship
18,Vince Whaley,0.848,3.391,4,Wyndham Championship
19,Rico Hoey,0.840,3.361,4,Wyndham Championship
20,Keith Mitchell,0.828,3.314,4,Wyndham Championship
21,Roger Sloan,0.812,3.248,4,Wyndham Championship
22,Davis Riley,0.799,3.198,4,Wyndham Championship
23,K.H. Lee,0.771,3.086,4,Wyndham Championship
24,Trace Crowe,0.748,2.991,4,Wyndham Championship
25,Beau Hossler,0.730,2.920,4,Wyndham Championship
26,Gary Woodland,0.685,2.740,4,Wyndham Championship
27,Eric Cole,0.672,2.687,4,Wyndham Championship
28,Aaron Rai,0.640,2.560,4,Wyndham Championship
29,Davis Thompson,0.624,2.495,4,Wyndham Championship
30,Jacob Bridgeman,0.599,2.397,4,Wyndham Championship
31,Victor Perez,0.565,2.259,4,Wyndham Championship
32,Pierceson Coody,0.493,1.972,4,Wyndham Championship
33,Nico Echavarria,0.481,1.926,4,Wyndham Championship
34,Brian Harman,0.480,1.920,4,Wyndham Championship
35,Ben Taylor,0.462,1.849,4,Wyndham Championship
36,J.J. Spaun,0.459,1.837,4,Wyndham Championship
37,Justin Lower,0.408,1.634,4,Wyndham Championship
38,Daniel Berger,0.390,1.559,4,Wyndham Championship
39,Patrick Rodgers,0.384,1.538,4,Wyndham Championship
40,Charley Hoffman,0.361,1.445,4,Wyndham Championship
41,Maverick McNealy,0.336,1.345,4,Wyndham Championship
42,Seamus Power,0.303,1.213,4,Wyndham Championship
43,Cameron Champ,0.235,0.939,4,Wyndham Championship
44,Ben Griffin,0.230,0.922,4,Wyndham Championship
45,Chad Ramey,0.203,0.813,4,Wyndham Championship
46,Zac Blair,0.196,0.786,4,Wyndham Championship
47,Luke Clanton,0.163,0.651,4,Wyndham Championship
48,Christiaan Bezuidenhout,0.029,0.116,4,Wyndham Championship
49,Emiliano Grillo,0.018,0.072,4,Wyndham Championship
50,Taylor Moore,-0.052,-0.208,4,Wyndham Championship
51,Keegan Bradley,-0.067,-0.266,4,Wyndham Championship
52,Nate Lashley,-0.105,-0.418,4,Wyndham Championship
53,Kevin Tway,-0.119,-0.477,4,Wyndham Championship
54,Chan Kim,-0.131,-0.524,4,Wyndham Championship
55,Doug Ghim,-0.183,-0.730,4,Wyndham Championship
56,Adam Hadwin,-0.375,-1.499,4,Wyndham Championship
57,Brice Garnett,-0.378,-1.510,4,Wyndham Championship
58,Denny McCarthy,-0.422,-1.687,4,Wyndham Championship
59,Ryan Moore,-0.466,-1.865,4,Wyndham Championship
60,Cameron Young,-0.672,-2.688,4,Wyndham Championship
61,Matti Schmid,-0.763,-3.051,4,Wyndham Championship
62,Nick Hardy,-0.786,-3.142,4,Wyndham Championship
63,Chandler Phillips,-0.808,-3.232,4,Wyndham Championship
64,Joel Dahmen,-1.227,-4.906,4,Wyndham Championship
65,Jhonattan Vegas,-1.270,-5.079,4,Wyndham Championship
66,Andrew Novak,-1.317,-5.267,4,Wyndham Championship
1,Max Greyserman,1.849,7.396,4,3M Open
2,Aaron Baddeley,1.811,7.244,4,3M Open
3,K.H. Lee,1.735,6.941,4,3M Open
4,Taylor Moore,1.590,6.361,4,3M Open
5,Cameron Champ,1.383,5.534,4,3M Open
6,Ben Kohles,1.300,5.200,4,3M Open
7,Justin Suh,1.267,5.067,4,3M Open
8,Mackenzie Hughes,1.255,5.022,4,3M Open
9,Jhonattan Vegas,1.245,4.979,4,3M Open
10,Sahith Theegala,1.162,4.647,4,3M Open
11,Patrick Fishburn,1.002,4.009,4,3M Open
12,Maverick McNealy,0.999,3.995,4,3M Open
13,Sam Burns,0.980,3.919,4,3M Open
14,Dylan Wu,0.976,3.906,4,3M Open
15,Kevin Kisner,0.848,3.394,4,3M Open
16,Robert Streb,0.838,3.351,4,3M Open
17,Emiliano Grillo,0.820,3.280,4,3M Open
18,Taylor Pendrith,0.816,3.265,4,3M Open
19,David Skinns,0.769,3.077,4,3M Open
20,Trace Crowe,0.749,2.996,4,3M Open
21,J.J. Spaun,0.688,2.754,4,3M Open
22,Kelly Kraft,0.650,2.600,4,3M Open
23,Ben Silverman,0.635,2.540,4,3M Open
24,Tony Finau,0.616,2.465,4,3M Open
25,Chad Ramey,0.600,2.399,4,3M Open
26,Matti Schmid,0.593,2.373,4,3M Open
27,Davis Riley,0.559,2.237,4,3M Open
28,Justin Lower,0.529,2.118,4,3M Open
29,Jacob Bridgeman,0.500,2.000,4,3M Open
30,Harry Hall,0.476,1.903,4,3M Open
31,Stewart Cink,0.436,1.746,4,3M Open
32,Brice Garnett,0.383,1.534,4,3M Open
33,Lanto Griffin,0.261,1.046,4,3M Open
34,Matt NeSmith,0.241,0.966,4,3M Open
35,Joe Highsmith,0.235,0.942,4,3M Open
36,Sam Stevens,0.217,0.867,4,3M Open
37,Kevin Chappell,0.190,0.761,4,3M Open
38,Tyler Duncan,0.185,0.739,4,3M Open
39,Zach Johnson,0.184,0.735,4,3M Open
40,Adam Schenk,0.165,0.659,4,3M Open
41,Andrew Putnam,0.120,0.480,4,3M Open
42,Pierceson Coody,0.099,0.397,4,3M Open
43,MJ Daffue,0.076,0.303,4,3M Open
44,Chris Gotterup,0.067,0.268,4,3M Open
45,Matt Wallace,0.021,0.084,4,3M Open
46,Nick Hardy,0.003,0.014,4,3M Open
47,Patrick Rodgers,-0.006,-0.025,4,3M Open
48,Andrew Novak,-0.012,-0.047,4,3M Open
49,Kevin Streelman,-0.020,-0.081,4,3M Open
50,Rico Hoey,-0.147,-0.589,4,3M Open
51,Joseph Bramlett,-0.164,-0.655,4,3M Open
52,Keegan Bradley,-0.181,-0.723,4,3M Open
53,Adam Svensson,-0.210,-0.841,4,3M Open
54,Robby Shelton,-0.227,-0.907,4,3M Open
55,Scott Piercy,-0.312,-1.249,4,3M Open
56,Kurt Kitayama,-0.325,-1.301,4,3M Open
57,Wesley Bryan,-0.350,-1.401,4,3M Open
58,Neal Shipley,-0.351,-1.404,4,3M Open
59,Seamus Power,-0.458,-1.831,4,3M Open
60,Cam Davis,-0.489,-1.955,4,3M Open
60,Alex Smalley,-0.489,-1.955,4,3M Open
62,Kevin Yu,-0.504,-2.017,4,3M Open
63,Matt Kuchar,-0.565,-2.259,4,3M Open
64,Cody Gribble,-0.572,-2.288,4,3M Open
65,Mac Meissner,-0.585,-2.340,4,3M Open
66,Carson Young,-0.587,-2.349,4,3M Open
67,Akshay Bhatia,-0.629,-2.515,4,3M Open
68,Hayden Springer,-0.677,-2.707,4,3M Open
69,Henrik Norlander,-0.697,-2.789,4,3M Open
70,Keith Mitchell,-0.844,-3.376,4,3M Open
71,Doug Ghim,-0.928,-3.711,4,3M Open
72,Austin Smotherman,-1.220,-4.879,4,3M Open
73,Gary Woodland,-1.286,-5.145,4,3M Open
74,Charley Hoffman,-1.355,-5.420,4,3M Open
1,Chase Hanna,1.618,6.471,4,Barracuda Championship
2,Patrick Fishburn,1.569,6.276,4,Barracuda Championship
3,Chad Ramey,1.531,6.124,4,Barracuda Championship
4,Jake Knapp,1.433,5.731,4,Barracuda Championship
5,S.H. Kim,1.406,5.624,4,Barracuda Championship
6,Nick Dunlap,1.354,5.417,4,Barracuda Championship
7,Lukas Nemecz,1.227,4.909,4,Barracuda Championship
8,Jayden Schaper,1.221,4.882,4,Barracuda Championship
9,Hurly Long,1.038,4.152,4,Barracuda Championship
10,S.Y. Noh,0.932,3.729,4,Barracuda Championship
11,Sean O'Hair,0.919,3.677,4,Barracuda Championship
12,Mitchell Schow,0.914,3.656,4,Barracuda Championship
13,Mark Hubbard,0.845,3.381,4,Barracuda Championship
14,Marcus Armitage,0.806,3.223,4,Barracuda Championship
15,Cameron Champ,0.789,3.155,4,Barracuda Championship
16,Martin Laird,0.779,3.114,4,Barracuda Championship
17,Vince Whaley,0.773,3.092,4,Barracuda Championship
18,Chez Reavie,0.717,2.869,4,Barracuda Championship
19,Patrick Rodgers,0.706,2.824,4,Barracuda Championship
20,Rico Hoey,0.671,2.683,4,Barracuda Championship
21,Nate Lashley,0.644,2.575,4,Barracuda Championship
22,Kevin Chappell,0.608,2.430,4,Barracuda Championship
23,Todd Clements,0.575,2.299,4,Barracuda Championship
23,Mac Meissner,0.575,2.301,4,Barracuda Championship
25,Sam Stevens,0.493,1.973,4,Barracuda Championship
26,Sam Bairstow,0.453,1.813,4,Barracuda Championship
27,Espen Kofstad,0.405,1.618,4,Barracuda Championship
28,Taylor Pendrith,0.328,1.310,4,Barracuda Championship
29,Justin Suh,0.252,1.006,4,Barracuda Championship
30,Ryan Brehm,0.217,0.866,4,Barracuda Championship
31,Chesson Hadley,0.212,0.849,4,Barracuda Championship
32,Patton Kizzire,0.199,0.796,4,Barracuda Championship
33,Max Greyserman,0.180,0.718,4,Barracuda Championship
34,Sam Ryder,0.116,0.464,4,Barracuda Championship
34,Santiago Tarrio,0.116,0.464,4,Barracuda Championship
36,Scott Piercy,0.109,0.437,4,Barracuda Championship
37,Alex Smalley,0.065,0.260,4,Barracuda Championship
38,Ben Taylor,0.044,0.176,4,Barracuda Championship
39,Adrien Saddier,0.041,0.164,4,Barracuda Championship
40,Matti Schmid,0.031,0.122,4,Barracuda Championship
41,J.J. Spaun,-0.017,-0.070,4,Barracuda Championship
42,Michael Kim,-0.098,-0.393,4,Barracuda Championship
42,Henrik Norlander,-0.098,-0.391,4,Barracuda Championship
44,Max Rottluff,-0.117,-0.470,4,Barracuda Championship
45,Lanto Griffin,-0.145,-0.581,4,Barracuda Championship
46,Charley Hoffman,-0.165,-0.661,4,Barracuda Championship
47,MJ Daffue,-0.199,-0.795,4,Barracuda Championship
48,Paul Waring,-0.286,-1.143,4,Barracuda Championship
49,Chan Kim,-0.288,-1.153,4,Barracuda Championship
50,Casey Jarvis,-0.289,-1.158,4,Barracuda Championship
51,Hayden Buckley,-0.292,-1.168,4,Barracuda Championship
52,Peter Malnati,-0.319,-1.275,4,Barracuda Championship
53,Robby Shelton,-0.353,-1.414,4,Barracuda Championship
54,Michael Thorbjornsen,-0.373,-1.493,4,Barracuda Championship
55,Alejandro Tosti,-0.522,-2.090,4,Barracuda Championship
56,Ben Silverman,-0.530,-2.119,4,Barracuda Championship
57,Andrew Putnam,-0.567,-2.269,4,Barracuda Championship
58,Will Gordon,-0.620,-2.481,4,Barracuda Championship
59,Max Kieffer,-0.638,-2.551,4,Barracuda Championship
60,Oliver Wilson,-0.760,-3.039,4,Barracuda Championship
61,Ian Gilligan,-0.857,-3.430,4,Barracuda Championship
62,Scott Gutschewski,-1.081,-4.326,4,Barracuda Championship
63,Joseph Bramlett,-1.201,-4.803,4,Barracuda Championship
64,Nick Watney,-1.285,-5.140,4,Barracuda Championship
65,Neal Shipley,-1.635,-6.539,4,Barracuda Championship
1,Matt NeSmith,2.044,8.177,4,ISCO Championship
2,Kevin Chappell,1.914,7.655,4,ISCO Championship
3,Patrick Fishburn,1.720,6.882,4,ISCO Championship
4,Ryan McCormick,1.633,6.531,4,ISCO Championship
5,Pierceson Coody,1.528,6.113,4,ISCO Championship
6,Johannes Veerman,1.509,6.036,4,ISCO Championship
7,Ben Taylor,1.466,5.866,4,ISCO Championship
8,Brandon Wu,1.369,5.478,4,ISCO Championship
9,Ryan Moore,1.240,4.961,4,ISCO Championship
10,Lanto Griffin,1.216,4.865,4,ISCO Championship
11,Hayden Buckley,0.825,3.302,4,ISCO Championship
12,Alex Smalley,0.785,3.140,4,ISCO Championship
13,Spencer Cross,0.783,3.132,4,ISCO Championship
14,S.Y. Noh,0.772,3.089,4,ISCO Championship
15,Sam Ryder,0.733,2.932,4,ISCO Championship
16,Jacques Kruyswijk,0.726,2.906,4,ISCO Championship
17,Neal Shipley,0.724,2.898,4,ISCO Championship
18,Francesco Laporta,0.667,2.667,4,ISCO Championship
19,Adrien Saddier,0.658,2.632,4,ISCO Championship
20,Chez Reavie,0.657,2.627,4,ISCO Championship
21,James Hahn,0.597,2.390,4,ISCO Championship
22,Sam Bairstow,0.564,2.255,4,ISCO Championship
23,William McGirt,0.551,2.206,4,ISCO Championship
24,Harry Hall,0.534,2.136,4,ISCO Championship
25,Marcus Kinhult,0.521,2.085,4,ISCO Championship
26,Rico Hoey,0.469,1.875,4,ISCO Championship
27,Hayden Springer,0.455,1.819,4,ISCO Championship
28,Kevin Tway,0.443,1.774,4,ISCO Championship
29,Kevin Kisner,0.440,1.762,4,ISCO Championship
30,Callum Tarren,0.432,1.730,4,ISCO Championship
31,Angel Hidalgo Portillo,0.401,1.604,4,ISCO Championship
32,Brandt Snedeker,0.361,1.445,4,ISCO Championship
33,Andy Sullivan,0.349,1.398,4,ISCO Championship
34,Ricardo Gouveia,0.326,1.303,4,ISCO Championship
35,Cooper Musselman,0.299,1.198,4,ISCO Championship
36,MJ Daffue,0.293,1.173,4,ISCO Championship
37,Ben Silverman,0.292,1.169,4,ISCO Championship
38,Roger Sloan,0.283,1.133,4,ISCO Championship
39,Henrik Norlander,0.267,1.070,4,ISCO Championship
40,Bill Haas,0.234,0.938,4,ISCO Championship
41,Dylan Wu,0.230,0.922,4,ISCO Championship
42,Cody Gribble,0.210,0.840,4,ISCO Championship
43,Garrick Higgo,0.159,0.638,4,ISCO Championship
44,Russell Knox,0.153,0.612,4,ISCO Championship
45,J.J. Spaun,0.150,0.600,4,ISCO Championship
46,Chan Kim,0.123,0.491,4,ISCO Championship
47,Austin Smotherman,-0.006,-0.024,4,ISCO Championship
48,Paul Barjon,-0.009,-0.036,4,ISCO Championship
49,Andrew Wilson,-0.029,-0.116,4,ISCO Championship
50,Mac Meissner,-0.062,-0.249,4,ISCO Championship
51,Matthis Besard,-0.065,-0.259,4,ISCO Championship
52,Max Rottluff,-0.076,-0.302,4,ISCO Championship
53,Jonathan Byrd,-0.104,-0.417,4,ISCO Championship
54,S.H. Kim,-0.127,-0.507,4,ISCO Championship
55,Zac Blair,-0.218,-0.871,4,ISCO Championship
55,Andrea Pavan,-0.218,-0.871,4,ISCO Championship
57,Luke Clanton,-0.234,-0.937,4,ISCO Championship
58,Lukas Nemecz,-0.317,-1.266,4,ISCO Championship
59,Chad Ramey,-0.325,-1.298,4,ISCO Championship
60,Patton Kizzire,-0.621,-2.482,4,ISCO Championship
60,Fabrizio Zanotti,-0.621,-2.482,4,ISCO Championship
62,Troy Merritt,-0.659,-2.634,4,ISCO Championship
63,Aaron Baddeley,-0.687,-2.748,4,ISCO Championship
64,Sebastian Friedrichsen,-0.721,-2.883,4,ISCO Championship
65,Tom Vaillant,-0.747,-2.986,4,ISCO Championship
66,David Lipsky,-0.875,-3.499,4,ISCO Championship
67,Nick Hardy,-1.934,-7.735,4,ISCO Championship
1,Connor Syme,1.894,7.575,4,Genesis Scottish Open
2,Romain Langasque,1.715,6.862,4,Genesis Scottish Open
3,Wyndham Clark,1.686,6.746,4,Genesis Scottish Open
4,Matt Fitzpatrick,1.660,6.640,4,Genesis Scottish Open
5,Victor Perez,1.505,6.022,4,Genesis Scottish Open
6,Richard Mansell,1.448,5.791,4,Genesis Scottish Open
7,Aaron Rai,1.426,5.703,4,Genesis Scottish Open
8,Eric Cole,1.340,5.361,4,Genesis Scottish Open
9,Adam Scott,1.253,5.012,4,Genesis Scottish Open
10,Mackenzie Hughes,1.243,4.974,4,Genesis Scottish Open
11,Yannik Paul,1.240,4.962,4,Genesis Scottish Open
12,Viktor Hovland,1.237,4.948,4,Genesis Scottish Open
13,Sahith Theegala,1.231,4.926,4,Genesis Scottish Open
14,Adam Hadwin,1.161,4.643,4,Genesis Scottish Open
15,Brendon Todd,1.119,4.478,4,Genesis Scottish Open
16,Robert MacIntyre,1.031,4.124,4,Genesis Scottish Open
17,Collin Morikawa,1.022,4.089,4,Genesis Scottish Open
18,Corey Conners,1.002,4.009,4,Genesis Scottish Open
19,Ludvig Åberg,0.967,3.867,4,Genesis Scottish Open
20,Max Kieffer,0.865,3.459,4,Genesis Scottish Open
21,Justin Lower,0.842,3.368,4,Genesis Scottish Open
22,Alejandro Del Rey,0.819,3.278,4,Genesis Scottish Open
23,Seamus Power,0.813,3.252,4,Genesis Scottish Open
24,Ugo Coussaud,0.779,3.117,4,Genesis Scottish Open
25,Ashun Wu,0.775,3.101,4,Genesis Scottish Open
26,Max Greyserman,0.742,2.968,4,Genesis Scottish Open
27,Sungjae Im,0.650,2.601,4,Genesis Scottish Open
28,Matthew Jordan,0.643,2.574,4,Genesis Scottish Open
28,Xander Schauffele,0.643,2.574,4,Genesis Scottish Open
30,Junghwan Lee,0.637,2.549,4,Genesis Scottish Open
31,Julien Guerrier,0.631,2.526,4,Genesis Scottish Open
32,Rasmus Højgaard,0.604,2.415,4,Genesis Scottish Open
33,Taylor Montgomery,0.600,2.400,4,Genesis Scottish Open
34,Thorbjørn Olesen,0.593,2.373,4,Genesis Scottish Open
35,Alex Noren,0.580,2.319,4,Genesis Scottish Open
36,Daniel Hillier,0.571,2.286,4,Genesis Scottish Open
37,Daniel Brown,0.553,2.212,4,Genesis Scottish Open
38,Stewart Cink,0.502,2.010,4,Genesis Scottish Open
39,Grant Forrest,0.501,2.005,4,Genesis Scottish Open
40,Nick Bachem,0.484,1.938,4,Genesis Scottish Open
41,Thomas Detry,0.409,1.635,4,Genesis Scottish Open
42,Francesco Molinari,0.296,1.183,4,Genesis Scottish Open
43,Jesper Svensson,0.228,0.911,4,Genesis Scottish Open
44,Kurt Kitayama,0.189,0.757,4,Genesis Scottish Open
45,Ben Kohles,0.120,0.480,4,Genesis Scottish Open
46,Justin Thomas,0.112,0.450,4,Genesis Scottish Open
47,Harris English,0.088,0.351,4,Genesis Scottish Open
48,Shubhankar Sharma,0.076,0.306,4,Genesis Scottish Open
49,Lee Hodges,0.030,0.122,4,Genesis Scottish Open
50,Max Homa,0.000,0.000,4,Genesis Scottish Open
51,Antoine Rozner,-0.014,-0.054,4,Genesis Scottish Open
52,Tom Kim,-0.041,-0.162,4,Genesis Scottish Open
53,Si Woo Kim,-0.048,-0.190,4,Genesis Scottish Open
54,Andrew Novak,-0.065,-0.260,4,Genesis Scottish Open
55,Charley Hoffman,-0.097,-0.387,4,Genesis Scottish Open
56,Sam Stevens,-0.153,-0.613,4,Genesis Scottish Open
57,Jorge Campillo,-0.225,-0.901,4,Genesis Scottish Open
58,Jens Dantorp,-0.232,-0.929,4,Genesis Scottish Open
59,Davis Thompson,-0.242,-0.966,4,Genesis Scottish Open
60,Matteo Manassero,-0.255,-1.021,4,Genesis Scottish Open
61,Brian Harman,-0.345,-1.380,4,Genesis Scottish Open
62,Nick Taylor,-0.373,-1.490,4,Genesis Scottish Open
63,Rory McIlroy,-0.374,-1.497,4,Genesis Scottish Open
64,Erik van Rooyen,-0.609,-2.435,4,Genesis Scottish Open
65,Ben Griffin,-0.662,-2.646,4,Genesis Scottish Open
66,Nicolai Højgaard,-0.669,-2.674,4,Genesis Scottish Open
