rank,player,avg,total_sg_putting,measured_rounds,tournament
21,Nate Lashley,0.571,2.284,4,ZOZO CHAMPIONSHIP
22,Jhonattan Vegas,0.563,2.252,4,ZOZO CHAMPIONSHIP
23,Beau Hossler,0.561,2.244,4,ZOZO CHAMPIONSHIP
24,Takumi Kanaya,0.476,1.905,4,ZOZO CHAMPIONSHIP
25,Sam Stevens,0.433,1.733,4,ZOZO CHAMPIONSHIP
26,Will Zalatoris,0.397,1.586,4,ZOZO CHAMPIONSHIP
27,C.T. Pan,0.380,1.518,4,ZOZO CHAMPIONSHIP
28,Taylor Moore,0.377,1.506,4,ZOZO CHAMPIONSHIP
29,Chad Ramey,0.303,1.210,4,ZOZO CHAMPIONSHIP
30,Carson Young,0.278,1.110,4,ZOZO CHAMPIONSHIP
31,Andrew Putnam,0.250,1.001,4,ZOZO CHAMPIONSHIP
32,Sungjae Im,0.226,0.905,4,ZOZO CHAMPIONSHIP
33,Yuta Sugiura,0.225,0.901,4,ZOZO CHAMPIONSHIP
34,Patrick Fishburn,0.208,0.830,4,ZOZO CHAMPIONSHIP
35,Mac Meissner,0.194,0.774,4,ZOZO CHAMPIONSHIP
36,Kurt Kitayama,0.126,0.505,4,ZOZO CHAMPIONSHIP
37,Taisei Shimizu,0.063,0.251,4,ZOZO CHAMPIONSHIP
38,Doug Ghim,0.033,0.131,4,ZOZO CHAMPIONSHIP
39,Rico Hoey,0.019,0.076,4,ZOZO CHAMPIONSHIP
40,Victor Perez,-0.003,-0.011,4,ZOZO CHAMPIONSHIP
41,Xander Schauffele,-0.081,-0.325,4,ZOZO CHAMPIONSHIP
42,Mark Hubbard,-0.091,-0.363,4,ZOZO CHAMPIONSHIP
43,Patrick Rodgers,-0.119,-0.476,4,ZOZO CHAMPIONSHIP
44,Yuto Katsuragawa,-0.137,-0.549,4,ZOZO CHAMPIONSHIP
45,Lee Hodges,-0.173,-0.691,4,ZOZO CHAMPIONSHIP
46,Hiroshi Iwata,-0.184,-0.735,4,ZOZO CHAMPIONSHIP
47,Justin Thomas,-0.192,-0.770,4,ZOZO CHAMPIONSHIP
48,Kevin Yu,-0.250,-1.000,4,ZOZO CHAMPIONSHIP
49,Sami Valimaki,-0.275,-1.099,4,ZOZO CHAMPIONSHIP
50,Adam Schenk,-0.300,-1.202,4,ZOZO CHAMPIONSHIP
51,Tom Hoge,-0.305,-1.220,4,ZOZO CHAMPIONSHIP
52,Satoshi Kodaira,-0.329,-1.317,4,ZOZO CHAMPIONSHIP
53,Shugo Imahira,-0.354,-1.417,4,ZOZO CHAMPIONSHIP
54,Min Woo Lee,-0.369,-1.475,4,ZOZO CHAMPIONSHIP
55,Kaito Onishi,-0.544,-2.175,4,ZOZO CHAMPIONSHIP
56,Ben Griffin,-0.563,-2.251,4,ZOZO CHAMPIONSHIP
57,Zac Blair,-0.587,-2.348,4,ZOZO CHAMPIONSHIP
58,Collin Morikawa,-0.601,-2.404,4,ZOZO CHAMPIONSHIP
59,Kensei Hirata,-0.611,-2.443,4,ZOZO CHAMPIONSHIP
60,Hideki Matsuyama,-0.654,-2.615,4,ZOZO CHAMPIONSHIP
61,Joel Dahmen,-0.723,-2.894,4,ZOZO CHAMPIONSHIP
62,Nick Taylor,-0.774,-3.097,4,ZOZO CHAMPIONSHIP
63,Andrew Novak,-0.816,-3.263,4,ZOZO CHAMPIONSHIP
64,Sahith Theegala,-0.839,-3.358,4,ZOZO CHAMPIONSHIP
65,Ben Kohles,-0.936,-3.746,4,ZOZO CHAMPIONSHIP
66,Ben Silverman,-0.967,-3.870,4,ZOZO CHAMPIONSHIP
67,Adam Svensson,-1.003,-4.012,4,ZOZO CHAMPIONSHIP
68,Matt Kuchar,-1.073,-4.294,4,ZOZO CHAMPIONSHIP
69,K.H. Lee,-1.103,-4.412,4,ZOZO CHAMPIONSHIP
70,Charley Hoffman,-1.163,-4.652,4,ZOZO CHAMPIONSHIP
71,Davis Riley,-1.225,-4.900,4,ZOZO CHAMPIONSHIP
72,Ryan Fox,-1.460,-5.841,4,ZOZO CHAMPIONSHIP
73,David Skinns,-1.475,-5.899,4,ZOZO CHAMPIONSHIP
74,Takahiro Hataji,-1.558,-6.232,4,ZOZO CHAMPIONSHIP
75,Chan Kim,-1.663,-6.653,4,ZOZO CHAMPIONSHIP
76,Takashi Ogiso,-1.718,-6.872,4,ZOZO CHAMPIONSHIP
77,Chris Gotterup,-1.849,-7.397,4,ZOZO CHAMPIONSHIP
1,Vince Whaley,2.191,8.763,4,Shriners Children's Open
2,Pierceson Coody,1.716,6.862,4,Shriners Children's Open
3,Erik van Rooyen,1.556,6.222,4,Shriners Children's Open
4,Beau Hossler,1.553,6.210,4,Shriners Children's Open
5,Adam Schenk,1.521,6.083,4,Shriners Children's Open
6,Lanto Griffin,1.479,5.915,4,Shriners Children's Open
7,Harry Hall,1.419,5.676,4,Shriners Children's Open
8,J.T. Poston,1.377,5.509,4,Shriners Children's Open
9,Harris English,1.345,5.381,4,Shriners Children's Open
10,Ian Gilligan,1.309,5.237,4,Shriners Children's Open
11,Davis Riley,1.299,5.194,4,Shriners Children's Open
12,K.H. Lee,1.221,4.884,4,Shriners Children's Open
13,Rico Hoey,1.151,4.602,4,Shriners Children's Open
14,Matti Schmid,1.135,4.541,4,Shriners Children's Open
15,Ryan McCormick,0.944,3.774,4,Shriners Children's Open
16,Gary Woodland,0.940,3.761,4,Shriners Children's Open
17,Andrew Putnam,0.938,3.750,4,Shriners Children's Open
18,Daniel Berger,0.918,3.671,4,Shriners Children's Open
19,Taylor Pendrith,0.903,3.611,4,Shriners Children's Open
20,Jacob Bridgeman,0.871,3.484,4,Shriners Children's Open
21,Neal Shipley,0.859,3.436,4,Shriners Children's Open
22,Norman Xiong,0.851,3.405,4,Shriners Children's Open
23,Taylor Moore,0.802,3.208,4,Shriners Children's Open
24,Matt Kuchar,0.755,3.020,4,Shriners Children's Open
25,Doug Ghim,0.734,2.934,4,Shriners Children's Open
26,Mark Hubbard,0.725,2.898,4,Shriners Children's Open
27,C.T. Pan,0.690,2.759,4,Shriners Children's Open
28,Joe Highsmith,0.616,2.464,4,Shriners Children's Open
29,Michael Kim,0.596,2.385,4,Shriners Children's Open
30,Wilson Furr,0.543,2.172,4,Shriners Children's Open
31,Ben Taylor,0.521,2.083,4,Shriners Children's Open
32,Sam Stevens,0.496,1.984,4,Shriners Children's Open
33,Ryan Fox,0.490,1.959,4,Shriners Children's Open
34,Ben Silverman,0.438,1.753,4,Shriners Children's Open
35,Chad Ramey,0.418,1.670,4,Shriners Children's Open
36,Tyler Duncan,0.357,1.428,4,Shriners Children's Open
37,David Lipsky,0.159,0.635,4,Shriners Children's Open
38,Luke List,0.150,0.598,4,Shriners Children's Open
39,Garrick Higgo,0.147,0.589,4,Shriners Children's Open
40,Davis Thompson,0.127,0.507,4,Shriners Children's Open
41,Dan McCarthy,0.118,0.472,4,Shriners Children's Open
42,Greyson Sigg,0.100,0.400,4,Shriners Children's Open
43,Rickie Fowler,0.055,0.219,4,Shriners Children's Open
44,S.H. Kim,0.054,0.214,4,Shriners Children's Open
44,Alejandro Tosti,0.054,0.216,4,Shriners Children's Open
46,Patrick Fishburn,0.031,0.125,4,Shriners Children's Open
47,J.J. Spaun,-0.010,-0.040,4,Shriners Children's Open
48,Bud Cauley,-0.032,-0.130,4,Shriners Children's Open
49,Ryan Moore,-0.079,-0.317,4,Shriners Children's Open
50,Justin Suh,-0.116,-0.463,4,Shriners Children's Open
51,Maverick McNealy,-0.243,-0.972,4,Shriners Children's Open
52,Nate Lashley,-0.260,-1.040,4,Shriners Children's Open
53,Jhonattan Vegas,-0.331,-1.326,4,Shriners Children's Open
54,Francesco Molinari,-0.344,-1.377,4,Shriners Children's Open
55,David Skinns,-0.524,-2.097,4,Shriners Children's Open
56,Scott Piercy,-0.593,-2.371,4,Shriners Children's Open
57,Kurt Kitayama,-0.692,-2.767,4,Shriners Children's Open
58,Austin Eckroat,-0.709,-2.835,4,Shriners Children's Open
59,Nick Taylor,-0.832,-3.329,4,Shriners Children's Open
60,Zac Blair,-0.872,-3.488,4,Shriners Children's Open
61,Trace Crowe,-0.886,-3.544,4,Shriners Children's Open
62,Camilo Villegas,-0.966,-3.866,4,Shriners Children's Open
63,Nicolo Galletti,-1.149,-4.596,4,Shriners Children's Open
64,Alex Smalley,-1.201,-4.804,4,Shriners Children's Open
65,Chris Gotterup,-1.204,-4.816,4,Shriners Children's Open
66,Joseph Bramlett,-2.694,-10.777,4,Shriners Children's Open
1,Kevin Streelman,2.301,9.202,4,Black Desert Championship
2,Chad Ramey,2.018,8.071,4,Black Desert Championship
3,Chez Reavie,1.839,7.357,4,Black Desert Championship
4,Carl Yuan,1.795,7.178,4,Black Desert Championship
5,Matti Schmid,1.675,6.699,4,Black Desert Championship
6,Matt McCarty,1.646,6.584,4,Black Desert Championship
7,Tyler Duncan,1.578,6.311,4,Black Desert Championship
8,Tyson Alexander,1.550,6.199,4,Black Desert Championship
9,Joe Highsmith,1.491,5.963,4,Black Desert Championship
10,Patrick Rodgers,1.439,5.756,4,Black Desert Championship
11,Harris English,1.287,5.149,4,Black Desert Championship
12,Carson Young,1.221,4.884,4,Black Desert Championship
13,Kevin Tway,1.182,4.727,4,Black Desert Championship
14,Erik Barnes,1.068,4.271,4,Black Desert Championship
15,S.H. Kim,1.038,4.152,4,Black Desert Championship
16,Henrik Norlander,1.019,4.076,4,Black Desert Championship
17,Will Gordon,0.983,3.933,4,Black Desert Championship
18,Stephan Jaeger,0.886,3.544,4,Black Desert Championship
19,Nick Hardy,0.797,3.189,4,Black Desert Championship
20,Harry Hall,0.764,3.056,4,Black Desert Championship
21,Ryo Hisatsune,0.754,3.016,4,Black Desert Championship
22,Roger Sloan,0.649,2.596,4,Black Desert Championship
23,Wesley Bryan,0.642,2.568,4,Black Desert Championship
24,Max McGreevy,0.606,2.423,4,Black Desert Championship
25,Erik van Rooyen,0.588,2.353,4,Black Desert Championship
26,Ryan Fox,0.569,2.274,4,Black Desert Championship
27,Raul Pereda,0.557,2.229,4,Black Desert Championship
28,Vince Whaley,0.503,2.010,4,Black Desert Championship
29,Nico Echavarria,0.502,2.009,4,Black Desert Championship
30,Chan Kim,0.483,1.933,4,Black Desert Championship
31,Nick Taylor,0.466,1.865,4,Black Desert Championship
32,Greyson Sigg,0.463,1.853,4,Black Desert Championship
33,Cameron Champ,0.446,1.785,4,Black Desert Championship
34,Tom Whitney,0.440,1.760,4,Black Desert Championship
35,Seamus Power,0.411,1.644,4,Black Desert Championship
36,Trey Mullinax,0.356,1.422,4,Black Desert Championship
37,Rico Hoey,0.252,1.009,4,Black Desert Championship
38,Trace Crowe,0.224,0.895,4,Black Desert Championship
39,Chesson Hadley,0.217,0.867,4,Black Desert Championship
40,Ben Griffin,0.182,0.729,4,Black Desert Championship
41,Patton Kizzire,0.174,0.694,4,Black Desert Championship
42,Justin Suh,0.030,0.118,4,Black Desert Championship
43,Philip Knowles,0.020,0.081,4,Black Desert Championship
44,Daniel Berger,0.016,0.064,4,Black Desert Championship
45,Wilson Furr,-0.061,-0.246,4,Black Desert Championship
46,Alejandro Tosti,-0.101,-0.406,4,Black Desert Championship
47,Alex Smalley,-0.151,-0.606,4,Black Desert Championship
48,Lanto Griffin,-0.156,-0.624,4,Black Desert Championship
49,Adam Svensson,-0.172,-0.688,4,Black Desert Championship
50,Scott Piercy,-0.210,-0.840,4,Black Desert Championship
51,Jacob Bridgeman,-0.251,-1.006,4,Black Desert Championship
52,Ben Kohles,-0.279,-1.117,4,Black Desert Championship
53,Lee Hodges,-0.298,-1.192,4,Black Desert Championship
54,Sam Ryder,-0.305,-1.221,4,Black Desert Championship
55,J.J. Spaun,-0.437,-1.747,4,Black Desert Championship
56,Chris Kirk,-0.477,-1.909,4,Black Desert Championship
57,K.H. Lee,-0.627,-2.507,4,Black Desert Championship
58,Nate Lashley,-0.638,-2.554,4,Black Desert Championship
59,Beau Hossler,-0.683,-2.733,4,Black Desert Championship
60,Lucas Glover,-0.692,-2.769,4,Black Desert Championship
61,Mac Meissner,-0.734,-2.935,4,Black Desert Championship
62,Doug Ghim,-0.756,-3.023,4,Black Desert Championship
63,Joseph Bramlett,-1.030,-4.121,4,Black Desert Championship
64,Alexander Björk,-1.109,-4.435,4,Black Desert Championship
65,Joel Dahmen,-1.152,-4.609,4,Black Desert Championship
66,Dylan Wu,-1.280,-5.120,4,Black Desert Championship
67,Zac Blair,-1.281,-5.125,4,Black Desert Championship
68,Norman Xiong,-1.748,-6.994,4,Black Desert Championship
69,Kurt Kitayama,-1.906,-7.623,4,Black Desert Championship
1,Hayden Springer,2.205,8.820,4,Sanderson Farms Championship
2,Kevin Yu,2.168,8.671,4,Sanderson Farms Championship
