rank,player,avg,total_sg_ott,measured_rounds,tournament
38,Davis Thompson,0.086,0.343,4,Mexico Open at Vidanta
39,Ryan Moore,0.064,0.254,4,Mexico Open at Vidanta
40,Andrew Novak,0.052,0.209,4,Mexico Open at Vidanta
41,Chan Kim,0.045,0.179,4,Mexico Open at Vidanta
42,Lanto Griffin,0.002,0.008,4,Mexico Open at Vidanta
43,Ryan McCormick,-0.007,-0.029,4,Mexico Open at Vidanta
44,Garrick Higgo,-0.067,-0.267,4,Mexico Open at Vidanta
45,James Hahn,-0.106,-0.426,4,Mexico Open at Vidanta
46,Trace Crowe,-0.170,-0.679,4,Mexico Open at Vidanta
47,Robby Shelton,-0.233,-0.931,4,Mexico Open at Vidanta
48,Padraig Harrington,-0.267,-1.067,4,Mexico Open at Vidanta
49,Jorge Campillo,-0.301,-1.204,4,Mexico Open at Vidanta
50,Jhonattan Vegas,-0.302,-1.210,4,Mexico Open at Vidanta
51,Erik Barnes,-0.327,-1.309,4,Mexico Open at Vidanta
52,Mark Hubbard,-0.330,-1.319,4,Mexico Open at Vidanta
53,Chandler Phillips,-0.357,-1.427,4,Mexico Open at Vidanta
54,Ryo Hisatsune,-0.405,-1.622,4,Mexico Open at Vidanta
55,Parker Coody,-0.420,-1.681,4,Mexico Open at Vidanta
56,Austin Eckroat,-0.576,-2.306,4,Mexico Open at Vidanta
57,Stuart Macdonald,-0.593,-2.373,4,Mexico Open at Vidanta
58,Harry Hall,-0.603,-2.413,4,Mexico Open at Vidanta
59,Martin Trainer,-0.648,-2.594,4,Mexico Open at Vidanta
60,Henrik Norlander,-0.714,-2.858,4,Mexico Open at Vidanta
61,Wilson Furr,-0.728,-2.911,4,Mexico Open at Vidanta
62,Austin Smotherman,-0.776,-3.106,4,Mexico Open at Vidanta
63,Thorbjørn Olesen,-0.928,-3.711,4,Mexico Open at Vidanta
64,Chad Ramey,-0.973,-3.891,4,Mexico Open at Vidanta
65,Aaron Baddeley,-1.028,-4.112,4,Mexico Open at Vidanta
1,Rory McIlroy,1.341,5.365,4,The Genesis Invitational
2,Adam Hadwin,1.029,4.115,4,The Genesis Invitational
3,Cameron Young,0.960,3.838,4,The Genesis Invitational
4,Sam Burns,0.848,3.390,4,The Genesis Invitational
5,Tony Finau,0.725,2.900,4,The Genesis Invitational
6,Corey Conners,0.675,2.698,4,The Genesis Invitational
7,Xander Schauffele,0.644,2.577,4,The Genesis Invitational
8,Adam Svensson,0.591,2.363,4,The Genesis Invitational
9,Scottie Scheffler,0.535,2.140,4,The Genesis Invitational
10,Viktor Hovland,0.528,2.113,4,The Genesis Invitational
11,Eric Cole,0.471,1.885,4,The Genesis Invitational
12,Harris English,0.422,1.689,4,The Genesis Invitational
13,Max Homa,0.411,1.645,4,The Genesis Invitational
14,Gary Woodland,0.360,1.438,4,The Genesis Invitational
15,Will Zalatoris,0.359,1.437,4,The Genesis Invitational
16,Hideki Matsuyama,0.279,1.116,4,The Genesis Invitational
17,Beau Hossler,0.258,1.032,4,The Genesis Invitational
18,Tom Kim,0.250,1.000,4,The Genesis Invitational
19,Byeong Hun An,0.215,0.861,4,The Genesis Invitational
20,Mackenzie Hughes,0.203,0.812,4,The Genesis Invitational
21,Lee Hodges,0.164,0.655,4,The Genesis Invitational
22,Lucas Glover,0.149,0.594,4,The Genesis Invitational
23,Tom Hoge,0.134,0.534,4,The Genesis Invitational
24,Patrick Cantlay,0.131,0.522,4,The Genesis Invitational
25,Sahith Theegala,0.103,0.410,4,The Genesis Invitational
26,Si Woo Kim,0.086,0.345,4,The Genesis Invitational
27,Emiliano Grillo,0.079,0.315,4,The Genesis Invitational
28,Tommy Fleetwood,0.035,0.139,4,The Genesis Invitational
29,Luke List,0.027,0.109,4,The Genesis Invitational
30,Adam Scott,0.010,0.039,4,The Genesis Invitational
31,Rickie Fowler,-0.094,-0.378,4,The Genesis Invitational
32,Cam Davis,-0.097,-0.389,4,The Genesis Invitational
33,J.T. Poston,-0.133,-0.531,4,The Genesis Invitational
34,Russell Henley,-0.136,-0.544,4,The Genesis Invitational
35,Jason Day,-0.157,-0.627,4,The Genesis Invitational
36,Kurt Kitayama,-0.184,-0.737,4,The Genesis Invitational
37,Christiaan Bezuidenhout,-0.186,-0.745,4,The Genesis Invitational
38,Brian Harman,-0.194,-0.775,4,The Genesis Invitational
39,Ben Griffin,-0.206,-0.826,4,The Genesis Invitational
40,Seamus Power,-0.231,-0.926,4,The Genesis Invitational
41,Collin Morikawa,-0.266,-1.066,4,The Genesis Invitational
42,Ludvig Åberg,-0.269,-1.075,4,The Genesis Invitational
43,Chase Johnson,-0.377,-1.507,4,The Genesis Invitational
44,Denny McCarthy,-0.425,-1.701,4,The Genesis Invitational
45,Brendon Todd,-0.502,-2.009,4,The Genesis Invitational
46,Sungjae Im,-0.503,-2.012,4,The Genesis Invitational
47,Charley Hoffman,-0.559,-2.235,4,The Genesis Invitational
48,Nick Taylor,-0.663,-2.653,4,The Genesis Invitational
49,Taylor Moore,-0.678,-2.714,4,The Genesis Invitational
50,Nicolai Højgaard,-0.714,-2.857,4,The Genesis Invitational
51,Andrew Putnam,-0.860,-3.439,4,The Genesis Invitational
1,Sam Burns,1.614,6.454,4,WM Phoenix Open
2,Scottie Scheffler,1.154,4.616,4,WM Phoenix Open
3,Matt Fitzpatrick,0.997,3.987,4,WM Phoenix Open
4,Adrien Dumont de Chassart,0.995,3.981,4,WM Phoenix Open
4,Cameron Young,0.995,3.979,4,WM Phoenix Open
6,Kurt Kitayama,0.985,3.939,4,WM Phoenix Open
7,Sam Stevens,0.971,3.884,4,WM Phoenix Open
8,Thomas Detry,0.952,3.809,4,WM Phoenix Open
9,Si Woo Kim,0.918,3.673,4,WM Phoenix Open
10,Jhonattan Vegas,0.840,3.361,4,WM Phoenix Open
11,Matt NeSmith,0.839,3.357,4,WM Phoenix Open
12,Corey Conners,0.835,3.340,4,WM Phoenix Open
13,Keith Mitchell,0.784,3.134,4,WM Phoenix Open
14,Jordan Spieth,0.717,2.868,4,WM Phoenix Open
15,Alex Noren,0.682,2.728,4,WM Phoenix Open
16,Sahith Theegala,0.661,2.642,4,WM Phoenix Open
17,Doug Ghim,0.645,2.578,4,WM Phoenix Open
18,Min Woo Lee,0.627,2.506,4,WM Phoenix Open
19,Charley Hoffman,0.611,2.445,4,WM Phoenix Open
20,Beau Hossler,0.577,2.307,4,WM Phoenix Open
21,Byeong Hun An,0.564,2.254,4,WM Phoenix Open
22,Nick Hardy,0.466,1.865,4,WM Phoenix Open
23,Sungjae Im,0.460,1.839,4,WM Phoenix Open
24,Harris English,0.458,1.833,4,WM Phoenix Open
25,Adam Scott,0.439,1.756,4,WM Phoenix Open
26,Seamus Power,0.437,1.748,4,WM Phoenix Open
27,Maverick McNealy,0.427,1.706,4,WM Phoenix Open
28,Justin Thomas,0.410,1.639,4,WM Phoenix Open
29,Joel Dahmen,0.403,1.610,4,WM Phoenix Open
30,S.H. Kim,0.401,1.604,4,WM Phoenix Open
31,Harry Hall,0.343,1.372,4,WM Phoenix Open
32,Daniel Berger,0.342,1.367,4,WM Phoenix Open
33,Brian Harman,0.338,1.352,4,WM Phoenix Open
34,Justin Suh,0.287,1.149,4,WM Phoenix Open
35,Nicolo Galletti,0.282,1.126,4,WM Phoenix Open
36,Tyler Duncan,0.231,0.925,4,WM Phoenix Open
37,Shane Lowry,0.196,0.783,4,WM Phoenix Open
38,Emiliano Grillo,0.193,0.770,4,WM Phoenix Open
39,Bud Cauley,0.142,0.567,4,WM Phoenix Open
39,Jim Knous,0.142,0.566,4,WM Phoenix Open
41,Tom Hoge,0.065,0.260,4,WM Phoenix Open
42,Nick Taylor,0.028,0.112,4,WM Phoenix Open
43,Carson Young,0.002,0.008,4,WM Phoenix Open
44,Jesse Mueller,-0.080,-0.320,4,WM Phoenix Open
45,Garrick Higgo,-0.084,-0.338,4,WM Phoenix Open
46,Andrew Novak,-0.089,-0.355,4,WM Phoenix Open
47,Eric Cole,-0.109,-0.435,4,WM Phoenix Open
48,Sami Valimaki,-0.121,-0.485,4,WM Phoenix Open
49,Billy Horschel,-0.129,-0.515,4,WM Phoenix Open
50,Tom Kim,-0.141,-0.566,4,WM Phoenix Open
51,Adam Schenk,-0.155,-0.620,4,WM Phoenix Open
52,Justin Lower,-0.161,-0.646,4,WM Phoenix Open
53,Davis Thompson,-0.247,-0.989,4,WM Phoenix Open
54,Hideki Matsuyama,-0.273,-1.092,4,WM Phoenix Open
55,Taylor Moore,-0.278,-1.113,4,WM Phoenix Open
56,Hayden Buckley,-0.280,-1.120,4,WM Phoenix Open
57,Tyson Alexander,-0.292,-1.168,4,WM Phoenix Open
58,Denny McCarthy,-0.303,-1.211,4,WM Phoenix Open
59,Ben Griffin,-0.334,-1.335,4,WM Phoenix Open
60,Brendon Todd,-0.352,-1.410,4,WM Phoenix Open
61,Zac Blair,-0.368,-1.471,4,WM Phoenix Open
62,Christiaan Bezuidenhout,-0.393,-1.574,4,WM Phoenix Open
63,Zach Johnson,-0.431,-1.724,4,WM Phoenix Open
64,Martin Laird,-0.469,-1.877,4,WM Phoenix Open
65,Wyndham Clark,-0.472,-1.887,4,WM Phoenix Open
66,Mark Hubbard,-0.542,-2.169,4,WM Phoenix Open
67,Jake Knapp,-0.629,-2.518,4,WM Phoenix Open
68,Kevin Chappell,-0.636,-2.546,4,WM Phoenix Open
69,Robby Shelton,-0.672,-2.687,4,WM Phoenix Open
70,Matt Wallace,-0.769,-3.077,4,WM Phoenix Open
71,Ryan Fox,-0.861,-3.446,4,WM Phoenix Open
72,Aaron Baddeley,-0.976,-3.906,4,WM Phoenix Open
73,Taylor Montgomery,-1.257,-5.027,4,WM Phoenix Open
1,Nicolai Højgaard,1.510,3.020,2,AT&T Pebble Beach Pro-Am
2,Tony Finau,1.320,2.641,2,AT&T Pebble Beach Pro-Am
3,Jordan Spieth,0.975,1.950,2,AT&T Pebble Beach Pro-Am
4,Kurt Kitayama,0.884,1.768,2,AT&T Pebble Beach Pro-Am
5,Adam Scott,0.866,1.732,2,AT&T Pebble Beach Pro-Am
6,Sungjae Im,0.829,1.658,2,AT&T Pebble Beach Pro-Am
7,Erik van Rooyen,0.821,1.643,2,AT&T Pebble Beach Pro-Am
8,Webb Simpson,0.795,1.591,2,AT&T Pebble Beach Pro-Am
9,Wyndham Clark,0.766,1.532,2,AT&T Pebble Beach Pro-Am
10,Hideki Matsuyama,0.756,1.512,2,AT&T Pebble Beach Pro-Am
11,Matthieu Pavon,0.698,1.397,2,AT&T Pebble Beach Pro-Am
12,Rory McIlroy,0.675,1.350,2,AT&T Pebble Beach Pro-Am
13,Nick Hardy,0.663,1.326,2,AT&T Pebble Beach Pro-Am
14,Justin Thomas,0.653,1.305,2,AT&T Pebble Beach Pro-Am
15,S.H. Kim,0.623,1.246,2,AT&T Pebble Beach Pro-Am
16,Russell Henley,0.615,1.231,2,AT&T Pebble Beach Pro-Am
17,Collin Morikawa,0.606,1.212,2,AT&T Pebble Beach Pro-Am
18,Ludvig Åberg,0.597,1.194,2,AT&T Pebble Beach Pro-Am
19,Keith Mitchell,0.503,1.005,2,AT&T Pebble Beach Pro-Am
20,Cameron Young,0.490,0.980,2,AT&T Pebble Beach Pro-Am
21,Harris English,0.461,0.923,2,AT&T Pebble Beach Pro-Am
22,Sepp Straka,0.434,0.867,2,AT&T Pebble Beach Pro-Am
23,Thomas Detry,0.430,0.860,2,AT&T Pebble Beach Pro-Am
24,Kevin Yu,0.428,0.856,2,AT&T Pebble Beach Pro-Am
25,Denny McCarthy,0.416,0.832,2,AT&T Pebble Beach Pro-Am
26,Corey Conners,0.406,0.812,2,AT&T Pebble Beach Pro-Am
27,Keegan Bradley,0.405,0.809,2,AT&T Pebble Beach Pro-Am
28,Si Woo Kim,0.340,0.680,2,AT&T Pebble Beach Pro-Am
29,Grayson Murray,0.338,0.675,2,AT&T Pebble Beach Pro-Am
30,Tommy Fleetwood,0.334,0.668,2,AT&T Pebble Beach Pro-Am
31,Viktor Hovland,0.325,0.649,2,AT&T Pebble Beach Pro-Am
32,Tom Kim,0.314,0.629,2,AT&T Pebble Beach Pro-Am
33,Emiliano Grillo,0.288,0.576,2,AT&T Pebble Beach Pro-Am
34,Chris Kirk,0.184,0.368,2,AT&T Pebble Beach Pro-Am
35,Mackenzie Hughes,0.176,0.351,2,AT&T Pebble Beach Pro-Am
36,Peter Malnati,0.120,0.240,2,AT&T Pebble Beach Pro-Am
37,Luke List,0.055,0.111,2,AT&T Pebble Beach Pro-Am
38,Eric Cole,-0.001,-0.002,2,AT&T Pebble Beach Pro-Am
39,Jason Day,-0.043,-0.086,2,AT&T Pebble Beach Pro-Am
40,Tom Hoge,-0.063,-0.127,2,AT&T Pebble Beach Pro-Am
41,Nick Taylor,-0.073,-0.145,2,AT&T Pebble Beach Pro-Am
42,Rickie Fowler,-0.093,-0.187,2,AT&T Pebble Beach Pro-Am
43,Mark Hubbard,-0.094,-0.187,2,AT&T Pebble Beach Pro-Am
44,J.T. Poston,-0.118,-0.236,2,AT&T Pebble Beach Pro-Am
45,Brendon Todd,-0.160,-0.320,2,AT&T Pebble Beach Pro-Am
46,Alex Noren,-0.181,-0.361,2,AT&T Pebble Beach Pro-Am
47,Justin Rose,-0.190,-0.381,2,AT&T Pebble Beach Pro-Am
48,Sam Burns,-0.192,-0.384,2,AT&T Pebble Beach Pro-Am
48,Maverick McNealy,-0.192,-0.383,2,AT&T Pebble Beach Pro-Am
50,Cam Davis,-0.196,-0.392,2,AT&T Pebble Beach Pro-Am
51,Alex Smalley,-0.199,-0.397,2,AT&T Pebble Beach Pro-Am
52,Adam Svensson,-0.224,-0.447,2,AT&T Pebble Beach Pro-Am
53,Brian Harman,-0.242,-0.484,2,AT&T Pebble Beach Pro-Am
54,Scottie Scheffler,-0.282,-0.565,2,AT&T Pebble Beach Pro-Am
55,Christiaan Bezuidenhout,-0.371,-0.741,2,AT&T Pebble Beach Pro-Am
56,J.J. Spaun,-0.385,-0.770,2,AT&T Pebble Beach Pro-Am
57,Brandon Wu,-0.390,-0.780,2,AT&T Pebble Beach Pro-Am
58,Adam Schenk,-0.394,-0.789,2,AT&T Pebble Beach Pro-Am
59,Stephan Jaeger,-0.398,-0.796,2,AT&T Pebble Beach Pro-Am
60,Matt Kuchar,-0.416,-0.831,2,AT&T Pebble Beach Pro-Am
61,Nick Dunlap,-0.417,-0.834,2,AT&T Pebble Beach Pro-Am
62,Byeong Hun An,-0.429,-0.858,2,AT&T Pebble Beach Pro-Am
63,Max Homa,-0.436,-0.872,2,AT&T Pebble Beach Pro-Am
64,Patrick Cantlay,-0.538,-1.076,2,AT&T Pebble Beach Pro-Am
65,Patrick Rodgers,-0.614,-1.227,2,AT&T Pebble Beach Pro-Am
66,Ben Griffin,-0.673,-1.346,2,AT&T Pebble Beach Pro-Am
67,Beau Hossler,-0.682,-1.365,2,AT&T Pebble Beach Pro-Am
68,Andrew Putnam,-0.703,-1.407,2,AT&T Pebble Beach Pro-Am
69,Taylor Moore,-0.718,-1.437,2,AT&T Pebble Beach Pro-Am
70,Matt Fitzpatrick,-0.740,-1.479,2,AT&T Pebble Beach Pro-Am
71,Xander Schauffele,-0.777,-1.553,2,AT&T Pebble Beach Pro-Am
72,Sam Ryder,-0.795,-1.589,2,AT&T Pebble Beach Pro-Am
73,Adam Hadwin,-0.928,-1.856,2,AT&T Pebble Beach Pro-Am
74,Taylor Montgomery,-0.958,-1.916,2,AT&T Pebble Beach Pro-Am
75,Lucas Glover,-0.979,-1.957,2,AT&T Pebble Beach Pro-Am
76,Sahith Theegala,-1.056,-2.112,2,AT&T Pebble Beach Pro-Am
77,Hayden Buckley,-1.071,-2.142,2,AT&T Pebble Beach Pro-Am
78,Lee Hodges,-1.206,-2.413,2,AT&T Pebble Beach Pro-Am
78,Davis Riley,-1.206,-2.412,2,AT&T Pebble Beach Pro-Am
80,Seamus Power,-1.272,-2.543,2,AT&T Pebble Beach Pro-Am
1,Xander Schauffele,1.233,3.698,3,Farmers Insurance Open
2,Kevin Dougherty,1.151,3.453,3,Farmers Insurance Open
2,Nicolai Højgaard,1.151,3.453,3,Farmers Insurance Open
4,Sahith Theegala,1.128,3.385,3,Farmers Insurance Open
5,Adam Schenk,1.082,3.246,3,Farmers Insurance Open
6,Parker Coody,0.955,2.865,3,Farmers Insurance Open
7,Jake Knapp,0.847,2.542,3,Farmers Insurance Open
8,Patrick Rodgers,0.827,2.480,3,Farmers Insurance Open
9,Rafael Campos,0.806,2.419,3,Farmers Insurance Open
10,Max Homa,0.788,2.363,3,Farmers Insurance Open
11,Vincent Norrman,0.739,2.217,3,Farmers Insurance Open
12,Kevin Yu,0.723,2.169,3,Farmers Insurance Open
13,Min Woo Lee,0.716,2.148,3,Farmers Insurance Open
14,Ludvig Åberg,0.696,2.087,3,Farmers Insurance Open
15,Keegan Bradley,0.683,2.050,3,Farmers Insurance Open
16,Hayden Springer,0.671,2.012,3,Farmers Insurance Open
17,Alejandro Tosti,0.667,2.001,3,Farmers Insurance Open
18,Sami Valimaki,0.633,1.900,3,Farmers Insurance Open
19,Maverick McNealy,0.621,1.863,3,Farmers Insurance Open
20,Joseph Bramlett,0.610,1.829,3,Farmers Insurance Open
21,Taylor Moore,0.599,1.796,3,Farmers Insurance Open
22,Ben Silverman,0.534,1.603,3,Farmers Insurance Open
23,Will Zalatoris,0.516,1.548,3,Farmers Insurance Open
24,Akshay Bhatia,0.491,1.474,3,Farmers Insurance Open
25,Taylor Pendrith,0.487,1.461,3,Farmers Insurance Open
26,Mark Hubbard,0.428,1.283,3,Farmers Insurance Open
27,Chris Gotterup,0.328,0.983,3,Farmers Insurance Open
28,Sam Stevens,0.299,0.896,3,Farmers Insurance Open
29,Luke List,0.298,0.893,3,Farmers Insurance Open
30,Tony Finau,0.297,0.890,3,Farmers Insurance Open
31,Nick Hardy,0.247,0.742,3,Farmers Insurance Open
32,Doug Ghim,0.234,0.701,3,Farmers Insurance Open
33,Thomas Detry,0.232,0.697,3,Farmers Insurance Open
34,Ryan Brehm,0.222,0.665,3,Farmers Insurance Open
35,Aaron Rai,0.212,0.635,3,Farmers Insurance Open
36,Matthieu Pavon,0.199,0.597,3,Farmers Insurance Open
37,Adrien Dumont de Chassart,0.127,0.381,3,Farmers Insurance Open
38,S.H. Kim,0.089,0.268,3,Farmers Insurance Open
39,Justin Lower,0.076,0.227,3,Farmers Insurance Open
39,Francesco Molinari,0.076,0.227,3,Farmers Insurance Open
41,Trace Crowe,0.046,0.139,3,Farmers Insurance Open
42,Michael Kim,0.010,0.029,3,Farmers Insurance Open
43,Hideki Matsuyama,-0.010,-0.030,3,Farmers Insurance Open
44,Taiga Semikawa,-0.044,-0.132,3,Farmers Insurance Open
45,Chesson Hadley,-0.058,-0.174,3,Farmers Insurance Open
46,Ben Martin,-0.090,-0.271,3,Farmers Insurance Open
47,Taylor Montgomery,-0.126,-0.379,3,Farmers Insurance Open
48,Emiliano Grillo,-0.153,-0.460,3,Farmers Insurance Open
49,Stephan Jaeger,-0.177,-0.532,3,Farmers Insurance Open
50,Tyson Alexander,-0.180,-0.541,3,Farmers Insurance Open
51,Justin Rose,-0.184,-0.551,3,Farmers Insurance Open
52,Tom Whitney,-0.223,-0.670,3,Farmers Insurance Open
53,Zac Blair,-0.235,-0.706,3,Farmers Insurance Open
54,Lanto Griffin,-0.262,-0.785,3,Farmers Insurance Open
55,Jacob Bridgeman,-0.271,-0.814,3,Farmers Insurance Open
56,Dylan Wu,-0.297,-0.890,3,Farmers Insurance Open
57,Erik Barnes,-0.305,-0.915,3,Farmers Insurance Open
58,Aaron Baddeley,-0.336,-1.009,3,Farmers Insurance Open
58,Justin Suh,-0.336,-1.007,3,Farmers Insurance Open
60,Austin Eckroat,-0.403,-1.208,3,Farmers Insurance Open
61,Nate Lashley,-0.414,-1.241,3,Farmers Insurance Open
62,Tom Hoge,-0.436,-1.307,3,Farmers Insurance Open
63,Ben Taylor,-0.448,-1.345,3,Farmers Insurance Open
64,Carson Young,-0.462,-1.386,3,Farmers Insurance Open
65,Patrick Cantlay,-0.471,-1.413,3,Farmers Insurance Open
66,Shane Lowry,-0.485,-1.456,3,Farmers Insurance Open
67,Robby Shelton,-0.486,-1.459,3,Farmers Insurance Open
68,Scott Stallings,-0.550,-1.650,3,Farmers Insurance Open
69,Mackenzie Hughes,-0.559,-1.678,3,Farmers Insurance Open
70,Chandler Phillips,-0.574,-1.723,3,Farmers Insurance Open
71,Ryo Hisatsune,-0.585,-1.755,3,Farmers Insurance Open
72,Bronson Burgoon,-0.643,-1.928,3,Farmers Insurance Open
73,Charley Hoffman,-0.775,-2.324,3,Farmers Insurance Open
74,Joe Highsmith,-0.804,-2.412,3,Farmers Insurance Open
75,Alexander Björk,-0.852,-2.557,3,Farmers Insurance Open
76,Beau Hossler,-0.856,-2.567,3,Farmers Insurance Open
77,Harris English,-0.862,-2.586,3,Farmers Insurance Open
78,Chad Ramey,-1.263,-3.790,3,Farmers Insurance Open
79,Brandt Snedeker,-1.962,-5.886,3,Farmers Insurance Open
1,Grayson Murray,1.273,5.093,4,Sony Open in Hawaii
2,Taiga Semikawa,1.148,4.593,4,Sony Open in Hawaii
3,Byeong Hun An,1.129,4.516,4,Sony Open in Hawaii
4,Chris Kirk,1.062,4.248,4,Sony Open in Hawaii
5,Martin Trainer,1.041,4.165,4,Sony Open in Hawaii
6,Carl Yuan,1.022,4.086,4,Sony Open in Hawaii
7,Si Woo Kim,0.991,3.964,4,Sony Open in Hawaii
8,Keith Mitchell,0.979,3.915,4,Sony Open in Hawaii
9,Patton Kizzire,0.958,3.832,4,Sony Open in Hawaii
10,Tyler Duncan,0.949,3.796,4,Sony Open in Hawaii
11,Stephan Jaeger,0.912,3.649,4,Sony Open in Hawaii
12,Corey Conners,0.869,3.477,4,Sony Open in Hawaii
13,Eric Cole,0.799,3.194,4,Sony Open in Hawaii
14,Austin Eckroat,0.781,3.122,4,Sony Open in Hawaii
15,Harris English,0.777,3.106,4,Sony Open in Hawaii
16,Erik van Rooyen,0.775,3.099,4,Sony Open in Hawaii
17,Alejandro Tosti,0.720,2.881,4,Sony Open in Hawaii
18,Will Gordon,0.694,2.774,4,Sony Open in Hawaii
19,Akshay Bhatia,0.610,2.441,4,Sony Open in Hawaii
20,Alex Noren,0.524,2.097,4,Sony Open in Hawaii
21,Hideki Matsuyama,0.499,1.994,4,Sony Open in Hawaii
22,Adam Svensson,0.468,1.872,4,Sony Open in Hawaii
23,Matthieu Pavon,0.408,1.633,4,Sony Open in Hawaii
24,Lanto Griffin,0.398,1.592,4,Sony Open in Hawaii
25,Brandon Wu,0.395,1.578,4,Sony Open in Hawaii
26,Luke List,0.382,1.526,4,Sony Open in Hawaii
27,Andrew Putnam,0.363,1.453,4,Sony Open in Hawaii
28,Keegan Bradley,0.351,1.403,4,Sony Open in Hawaii
29,Seamus Power,0.334,1.336,4,Sony Open in Hawaii
30,Dylan Wu,0.313,1.250,4,Sony Open in Hawaii
31,Joel Dahmen,0.288,1.152,4,Sony Open in Hawaii
32,Patrick Rodgers,0.282,1.128,4,Sony Open in Hawaii
33,Nico Echavarria,0.255,1.019,4,Sony Open in Hawaii
34,Russell Henley,0.236,0.943,4,Sony Open in Hawaii
35,Billy Horschel,0.216,0.862,4,Sony Open in Hawaii
36,Parker Coody,0.201,0.802,4,Sony Open in Hawaii
37,Ludvig Åberg,0.190,0.759,4,Sony Open in Hawaii
38,K.H. Lee,0.178,0.710,4,Sony Open in Hawaii
39,Kurt Kitayama,0.171,0.682,4,Sony Open in Hawaii
40,Aaron Rai,0.127,0.508,4,Sony Open in Hawaii
41,Taylor Montgomery,0.125,0.499,4,Sony Open in Hawaii
42,Justin Rose,0.122,0.489,4,Sony Open in Hawaii
43,Jake Knapp,0.119,0.477,4,Sony Open in Hawaii
44,Scott Stallings,0.117,0.467,4,Sony Open in Hawaii
45,Ben Griffin,0.114,0.454,4,Sony Open in Hawaii
46,Nick Hardy,0.071,0.283,4,Sony Open in Hawaii
47,Tyrrell Hatton,0.058,0.232,4,Sony Open in Hawaii
48,Joseph Bramlett,0.030,0.119,4,Sony Open in Hawaii
49,J.T. Poston,0.020,0.080,4,Sony Open in Hawaii
50,Greyson Sigg,0.018,0.073,4,Sony Open in Hawaii
51,Webb Simpson,0.017,0.067,4,Sony Open in Hawaii
52,Stewart Cink,0.012,0.048,4,Sony Open in Hawaii
52,Cam Davis,0.012,0.049,4,Sony Open in Hawaii
54,Ben Silverman,0.001,0.002,4,Sony Open in Hawaii
54,Sam Stevens,0.001,0.005,4,Sony Open in Hawaii
56,Norman Xiong,-0.060,-0.241,4,Sony Open in Hawaii
57,Taylor Pendrith,-0.110,-0.442,4,Sony Open in Hawaii
58,Nick Taylor,-0.136,-0.544,4,Sony Open in Hawaii
59,Charley Hoffman,-0.196,-0.783,4,Sony Open in Hawaii
60,Ben Kohles,-0.222,-0.888,4,Sony Open in Hawaii
61,Maverick McNealy,-0.229,-0.918,4,Sony Open in Hawaii
62,Chandler Phillips,-0.239,-0.958,4,Sony Open in Hawaii
63,Robby Shelton,-0.304,-1.218,4,Sony Open in Hawaii
64,S.H. Kim,-0.341,-1.364,4,Sony Open in Hawaii
65,Emiliano Grillo,-0.354,-1.417,4,Sony Open in Hawaii
66,Harry Hall,-0.390,-1.560,4,Sony Open in Hawaii
67,Brendon Todd,-0.405,-1.621,4,Sony Open in Hawaii
68,Troy Merritt,-0.463,-1.853,4,Sony Open in Hawaii
69,Ryo Hisatsune,-0.465,-1.862,4,Sony Open in Hawaii
70,Zac Blair,-0.476,-1.906,4,Sony Open in Hawaii
71,Justin Lower,-0.556,-2.224,4,Sony Open in Hawaii
72,Brian Harman,-0.604,-2.418,4,Sony Open in Hawaii
73,Garrick Higgo,-0.704,-2.815,4,Sony Open in Hawaii
74,Denny McCarthy,-0.715,-2.859,4,Sony Open in Hawaii
75,Robert MacIntyre,-0.742,-2.968,4,Sony Open in Hawaii
76,Mark Hubbard,-0.803,-3.212,4,Sony Open in Hawaii
77,Michael Kim,-0.827,-3.307,4,Sony Open in Hawaii
78,Yuto Katsuragawa,-0.929,-3.715,4,Sony Open in Hawaii
79,Davis Thompson,-1.086,-4.346,4,Sony Open in Hawaii
80,Matt NeSmith,-1.171,-4.683,4,Sony Open in Hawaii
81,Matt Wallace,-1.184,-4.736,4,Sony Open in Hawaii
1,Xander Schauffele,1.004,4.014,4,The Sentry
2,Wyndham Clark,0.973,3.890,4,The Sentry
3,Scottie Scheffler,0.871,3.484,4,The Sentry
4,Max Homa,0.779,3.115,4,The Sentry
5,Patrick Cantlay,0.742,2.966,4,The Sentry
6,Taylor Moore,0.738,2.953,4,The Sentry
7,Collin Morikawa,0.688,2.752,4,The Sentry
8,Viktor Hovland,0.676,2.702,4,The Sentry
9,Emiliano Grillo,0.632,2.527,4,The Sentry
10,Erik van Rooyen,0.610,2.438,4,The Sentry
11,Harris English,0.607,2.427,4,The Sentry
12,Adam Schenk,0.475,1.899,4,The Sentry
13,Sahith Theegala,0.459,1.837,4,The Sentry
14,Adam Hadwin,0.421,1.682,4,The Sentry
15,Tony Finau,0.385,1.538,4,The Sentry
16,J.T. Poston,0.383,1.531,4,The Sentry
17,Corey Conners,0.370,1.478,4,The Sentry
18,Byeong Hun An,0.311,1.244,4,The Sentry
19,Kurt Kitayama,0.284,1.134,4,The Sentry
20,Jason Day,0.269,1.074,4,The Sentry
21,Patrick Rodgers,0.242,0.969,4,The Sentry
22,Sungjae Im,0.239,0.954,4,The Sentry
23,Akshay Bhatia,0.221,0.883,4,The Sentry
24,Matt Fitzpatrick,0.220,0.881,4,The Sentry
25,Lee Hodges,0.219,0.875,4,The Sentry
