rank,player,total,total_sg_ott_avg,total_sg_apr_avg,total_sg_arg_avg,measured_rounds,tournament
12,Scott Stallings,1.518,0.117,0.532,0.870,4,Sony Open in Hawaii
13,Patton Kizzire,1.470,0.958,0.372,0.140,4,Sony Open in Hawaii
14,J.T. Poston,1.465,0.020,0.691,0.755,4,Sony Open in Hawaii
15,Akshay Bhatia,1.456,0.610,1.313,-0.468,4,Sony Open in Hawaii
16,Matthieu Pavon,1.417,0.408,1.130,-0.121,4,Sony Open in Hawaii
17,Zac Blair,1.393,-0.476,1.730,0.140,4,Sony Open in Hawaii
18,Nick Taylor,1.376,-0.136,1.414,0.098,4,Sony Open in Hawaii
19,Brandon Wu,1.323,0.395,0.930,-0.002,4,Sony Open in Hawaii
20,Seamus Power,1.284,0.334,0.443,0.508,4,Sony Open in Hawaii
21,Kurt Kitayama,1.251,0.171,0.574,0.507,4,Sony Open in Hawaii
22,Corey Conners,1.125,0.869,0.412,-0.156,4,Sony Open in Hawaii
23,Luke List,1.120,0.382,0.756,-0.017,4,Sony Open in Hawaii
24,Hideki Matsuyama,0.986,0.499,0.108,0.380,4,Sony Open in Hawaii
25,Adam Svensson,0.926,0.468,0.859,-0.401,4,Sony Open in Hawaii
26,Ben Silverman,0.921,0.001,-0.034,0.954,4,Sony Open in Hawaii
27,Erik van Rooyen,0.888,0.775,1.114,-1.000,4,Sony Open in Hawaii
28,Webb Simpson,0.848,0.017,0.799,0.033,4,Sony Open in Hawaii
29,Joseph Bramlett,0.833,0.030,0.722,0.082,4,Sony Open in Hawaii
30,Harris English,0.815,0.777,0.185,-0.146,4,Sony Open in Hawaii
31,Troy Merritt,0.810,-0.463,0.445,0.828,4,Sony Open in Hawaii
32,Eric Cole,0.801,0.799,0.450,-0.447,4,Sony Open in Hawaii
33,Sam Stevens,0.777,0.001,0.236,0.540,4,Sony Open in Hawaii
34,Alex Noren,0.776,0.524,0.181,0.071,4,Sony Open in Hawaii
35,Aaron Rai,0.768,0.127,0.268,0.374,4,Sony Open in Hawaii
36,Dylan Wu,0.763,0.313,0.529,-0.078,4,Sony Open in Hawaii
37,Joel Dahmen,0.732,0.288,1.143,-0.699,4,Sony Open in Hawaii
38,Greyson Sigg,0.708,0.018,0.494,0.196,4,Sony Open in Hawaii
39,Austin Eckroat,0.705,0.781,-0.165,0.090,4,Sony Open in Hawaii
40,Taiga Semikawa,0.679,1.148,-0.383,-0.086,4,Sony Open in Hawaii
41,Taylor Pendrith,0.671,-0.110,0.688,0.093,4,Sony Open in Hawaii
42,Harry Hall,0.658,-0.390,1.329,-0.281,4,Sony Open in Hawaii
43,S.H. Kim,0.654,-0.341,0.350,0.646,4,Sony Open in Hawaii
44,Tyler Duncan,0.613,0.949,-0.662,0.326,4,Sony Open in Hawaii
45,Stephan Jaeger,0.580,0.912,-0.475,0.143,4,Sony Open in Hawaii
46,Ludvig Åberg,0.395,0.190,0.349,-0.144,4,Sony Open in Hawaii
47,Brendon Todd,0.387,-0.405,0.722,0.070,4,Sony Open in Hawaii
48,Billy Horschel,0.380,0.216,0.176,-0.012,4,Sony Open in Hawaii
49,Andrew Putnam,0.363,0.363,-0.725,0.724,4,Sony Open in Hawaii
50,Patrick Rodgers,0.353,0.282,-0.192,0.263,4,Sony Open in Hawaii
51,Nick Hardy,0.309,0.071,0.032,0.206,4,Sony Open in Hawaii
52,Martin Trainer,0.303,1.041,-1.039,0.301,4,Sony Open in Hawaii
53,Chandler Phillips,0.208,-0.239,0.312,0.135,4,Sony Open in Hawaii
54,Will Gordon,0.105,0.694,-1.016,0.428,4,Sony Open in Hawaii
55,Parker Coody,0.052,0.201,-0.365,0.216,4,Sony Open in Hawaii
56,Stewart Cink,-0.015,0.012,-0.242,0.215,4,Sony Open in Hawaii
57,Emiliano Grillo,-0.030,-0.354,0.586,-0.261,4,Sony Open in Hawaii
58,Charley Hoffman,-0.187,-0.196,-0.362,0.371,4,Sony Open in Hawaii
59,Justin Lower,-0.212,-0.556,0.737,-0.393,4,Sony Open in Hawaii
60,Ben Griffin,-0.228,0.114,-0.100,-0.241,4,Sony Open in Hawaii
61,Ben Kohles,-0.246,-0.222,0.296,-0.320,4,Sony Open in Hawaii
62,Jake Knapp,-0.325,0.119,-0.986,0.542,4,Sony Open in Hawaii
63,Robby Shelton,-0.351,-0.304,0.714,-0.760,4,Sony Open in Hawaii
64,Justin Rose,-0.370,0.122,-0.532,0.041,4,Sony Open in Hawaii
65,Robert MacIntyre,-0.418,-0.742,0.517,-0.193,4,Sony Open in Hawaii
66,Michael Kim,-0.471,-0.827,0.178,0.178,4,Sony Open in Hawaii
67,Brian Harman,-0.481,-0.604,-0.089,0.212,4,Sony Open in Hawaii
68,Alejandro Tosti,-0.542,0.720,-1.021,-0.241,4,Sony Open in Hawaii
69,Nico Echavarria,-0.546,0.255,-0.863,0.062,4,Sony Open in Hawaii
70,Lanto Griffin,-0.547,0.398,-1.188,0.243,4,Sony Open in Hawaii
71,Norman Xiong,-0.684,-0.060,-0.729,0.105,4,Sony Open in Hawaii
72,Maverick McNealy,-0.750,-0.229,-0.390,-0.130,4,Sony Open in Hawaii
73,Ryo Hisatsune,-0.805,-0.465,-0.403,0.063,4,Sony Open in Hawaii
74,Mark Hubbard,-0.816,-0.803,0.063,-0.076,4,Sony Open in Hawaii
75,Cam Davis,-0.826,0.012,-0.350,-0.488,4,Sony Open in Hawaii
76,Denny McCarthy,-0.850,-0.715,-0.268,0.133,4,Sony Open in Hawaii
77,Davis Thompson,-0.890,-1.086,0.424,-0.227,4,Sony Open in Hawaii
78,Yuto Katsuragawa,-1.100,-0.929,-0.078,-0.093,4,Sony Open in Hawaii
79,Matt Wallace,-1.269,-1.184,-0.538,0.453,4,Sony Open in Hawaii
80,Matt NeSmith,-1.660,-1.171,-0.115,-0.374,4,Sony Open in Hawaii
81,Garrick Higgo,-1.881,-0.704,-1.314,0.137,4,Sony Open in Hawaii
1,Scottie Scheffler,2.265,0.871,1.296,0.098,4,The Sentry
2,Max Homa,2.163,0.779,0.946,0.438,4,The Sentry
3,Collin Morikawa,2.124,0.688,1.311,0.125,4,The Sentry
4,Lucas Glover,1.876,0.208,1.262,0.407,4,The Sentry
5,Patrick Rodgers,1.771,0.242,0.788,0.741,4,The Sentry
6,Chris Kirk,1.714,0.206,0.625,0.883,4,The Sentry
7,Xander Schauffele,1.642,1.004,0.248,0.390,4,The Sentry
8,Sahith Theegala,1.370,0.459,0.664,0.247,4,The Sentry
9,Byeong Hun An,1.218,0.311,0.148,0.760,4,The Sentry
10,Corey Conners,1.169,0.370,1.131,-0.332,4,The Sentry
11,Jason Day,0.990,0.269,0.059,0.662,4,The Sentry
12,Patrick Cantlay,0.929,0.742,-0.092,0.280,4,The Sentry
13,J.T. Poston,0.872,0.383,-0.146,0.635,4,The Sentry
14,Adam Schenk,0.827,0.475,0.060,0.292,4,The Sentry
15,Sungjae Im,0.765,0.239,0.753,-0.227,4,The Sentry
16,Kurt Kitayama,0.730,0.284,0.997,-0.551,4,The Sentry
17,Wyndham Clark,0.712,0.973,-0.392,0.131,4,The Sentry
18,Sepp Straka,0.694,0.055,1.016,-0.377,4,The Sentry
19,Cameron Young,0.647,0.071,0.170,0.407,4,The Sentry
20,Jordan Spieth,0.633,-0.029,0.435,0.228,4,The Sentry
21,Tyrrell Hatton,0.531,-0.329,0.395,0.465,4,The Sentry
22,Brian Harman,0.450,-0.111,0.556,0.005,4,The Sentry
23,Si Woo Kim,0.414,0.020,0.130,0.264,4,The Sentry
24,Keegan Bradley,0.321,-0.286,0.912,-0.305,4,The Sentry
25,Tony Finau,0.267,0.385,-0.421,0.303,4,The Sentry
26,Tom Kim,0.197,-0.017,0.112,0.101,4,The Sentry
27,Matt Fitzpatrick,0.058,0.220,-0.850,0.688,4,The Sentry
28,Luke List,-0.050,-0.462,0.427,-0.015,4,The Sentry
29,Taylor Moore,-0.064,0.738,-0.797,-0.005,4,The Sentry
30,Viktor Hovland,-0.083,0.676,-0.548,-0.210,4,The Sentry
31,Harris English,-0.112,0.607,-0.399,-0.320,4,The Sentry
32,Eric Cole,-0.183,-0.713,0.399,0.131,4,The Sentry
33,Tom Hoge,-0.217,-0.279,0.908,-0.845,4,The Sentry
34,Hideki Matsuyama,-0.263,-0.308,-0.641,0.686,4,The Sentry
35,Adam Svensson,-0.266,0.006,0.425,-0.697,4,The Sentry
36,Adam Hadwin,-0.278,0.421,-0.812,0.113,4,The Sentry
37,Mackenzie Hughes,-0.333,-0.577,0.213,0.031,4,The Sentry
38,Akshay Bhatia,-0.341,0.221,-0.561,-0.001,4,The Sentry
39,Sam Burns,-0.421,0.058,-0.076,-0.404,4,The Sentry
40,Denny McCarthy,-0.422,-0.554,0.319,-0.186,4,The Sentry
41,Brendon Todd,-0.457,-1.499,0.666,0.375,4,The Sentry
42,Ludvig Åberg,-0.535,-0.245,-0.094,-0.195,4,The Sentry
43,Nick Hardy,-0.596,0.182,0.123,-0.900,4,The Sentry
44,Erik van Rooyen,-0.646,0.610,-0.612,-0.644,4,The Sentry
45,Nico Echavarria,-0.726,-0.335,-0.602,0.212,4,The Sentry
46,Andrew Putnam,-0.731,-0.031,0.145,-0.845,4,The Sentry
47,Matt Wallace,-0.879,-0.068,-0.600,-0.211,4,The Sentry
48,Rickie Fowler,-0.948,-1.244,0.176,0.121,4,The Sentry
49,Tommy Fleetwood,-0.956,-0.533,-1.011,0.589,4,The Sentry
50,Emiliano Grillo,-0.979,0.632,-0.830,-0.781,4,The Sentry
51,Lee Hodges,-1.090,0.219,0.039,-1.348,4,The Sentry
52,Russell Henley,-1.341,-0.462,-1.038,0.159,4,The Sentry
53,Justin Rose,-1.345,-0.675,-1.069,0.398,4,The Sentry
54,Vincent Norrman,-1.762,-0.602,-1.531,0.371,4,The Sentry
55,Nick Taylor,-1.828,-0.608,-0.297,-0.923,4,The Sentry
56,Seamus Power,-2.151,-0.737,-0.483,-0.930,4,The Sentry
57,Davis Riley,-2.175,-1.504,-0.765,0.094,4,The Sentry
58,Cam Davis,-2.498,-0.072,-1.517,-0.909,4,The Sentry
59,Camilo Villegas,-2.671,-1.338,-1.664,0.332,4,The Sentry
